industry,median_asking_price,median_sold_price,median_sde,price_to_sde_multiple,median_revenue,price_to_revenue_multiple,cashflow_margin_pct,listings_count,days_on_market,median_sba_loan,sba_default_rate_pct
Architecture And Engineering Firms,624500.00,549500.00,262500.00,2.09,822445.00,0.67,0.3190,15,,463584.00,0.0180
Hvac Businesses,512500.00,492500.00,249255.00,1.98,1037244.00,0.47,0.2400,59,,412788.00,0.0270
Durable Goods Wholesalers And Distributors,650000.00,650000.00,249000.00,2.61,1606412.00,0.4,0.1550,34,,720927.00,0.0220
Medical Device And Product Manufacturers,722500.00,722500.00,241500.00,2.99,934992.50,0.77,0.2580,10,,617564.00,0.0530
Other Financial Services Businesses,1333339.00,907000.00,240000.00,3.78,878000.00,1.03,0.2730,7,,829202.00,0.0030
Rubber And Plastic Products Manufacturers,750000.00,725000.00,238529.00,3.04,700000.00,1.04,0.3410,3,,821786.00,0.0100
Car Washes,1149500.00,1025000.00,238500.00,4.3,1140000.00,0.9,0.2090,35,,1667729.00,0.0130
Other Transportation And Storage Businesses,612500.00,587500.00,234194.00,2.51,1601880.00,0.37,0.1460,7,,536715.00,0.0260
Food And Related Product Manufacturers,675000.00,675000.00,230000.00,2.93,1100000.00,0.61,0.2090,24,,602791.00,0.0210
Waste Management And Recycling Businesses,535000.00,510000.00,226517.50,2.25,606141.50,0.84,0.3740,16,,507338.00,0.0400
Nondurable Goods Wholesalers And Distributors,589500.00,580000.00,225000.00,2.58,1390000.00,0.42,0.1620,27,,698584.00,0.0420
Websites And Ecommerce Businesses,610500.00,587000.00,220256.00,2.67,784593.50,0.75,0.2810,301,,412042.00,0.0450
Trucking Companies,700000.00,650000.00,214799.00,3.03,1064970.00,0.61,0.2020,45,,219784.00,0.0270
Preschools,962500.00,960000.00,212551.00,4.52,790580.50,1.21,0.2690,13,,954087.00,0.0120
Other Communication And Media Businesses,649000.00,599000.00,211930.00,2.83,647000.00,0.93,0.3280,20,,759656.00,0.0170
Banquet Halls,1175000.00,1075000.00,211897.00,5.07,559260.50,1.92,0.3790,5,,991108.00,0.0070
Home Health Care Businesses,587500.00,500000.00,208547.50,2.4,1057500.00,0.47,0.1970,54,,517692.00,0.0260
Jewelry Stores,385000.00,385000.00,207286.00,1.86,1272146.00,0.3,0.1630,6,,403180.00,0.0000
Other Agriculture Businesses,699500.00,734500.00,207068.50,3.55,1292550.00,0.57,0.1600,8,,477511.00,0.0100
Security Businesses,552000.00,594500.00,206422.50,2.88,631320.50,0.94,0.3270,13,,647589.00,0.0000
All Businesses,606190.95,559644.87,203954.11,2.49,917003.15,0.66,0.2600,6841,,550102.00,0.0230
Property Management Businesses,520000.00,495000.00,197000.00,2.51,672318.00,0.74,0.2930,35,,335404.00,0.0290
Other Beauty And Personal Care Businesses,650000.00,650000.00,196553.00,3.31,541643.00,1.2,0.3630,7,,310697.00,0.0450
Software And App Companies,350000.00,300000.00,193385.00,1.55,383000.00,0.78,0.5050,19,,,
Dental Practices,377000.00,331000.00,189500.00,1.75,588620.00,0.56,0.3220,24,,726367.00,0.0040
Furniture And Furnishings Stores,512500.00,500000.00,176500.00,2.83,945329.50,0.53,0.1870,27,,480290.00,0.0260
Medical Practices,300000.00,240000.00,175017.00,1.37,525000.00,0.46,0.3330,55,,553707.00,0.0230
Business Real Estate For Lease,675000.00,555000.00,174687.00,3.18,383083.00,1.45,0.4560,1,,708415.00,0.0130
Other Health Care And Fitness Businesses,399000.00,385000.00,173343.00,2.22,530000.00,0.73,0.3270,61,,287849.00,0.0110
Auto Repair And Service Shops,395000.00,362500.00,172500.00,2.1,744461.00,0.49,0.2320,196,,478871.00,0.0280
Sign Manufacturers And Businesses,329500.00,329500.00,162758.00,2.02,600000.00,0.55,0.2710,36,,606743.00,0.0000
Gas Stations,395000.00,350000.00,161557.00,2.17,2272744.00,0.15,0.0710,183,,1439350.00,0.0050
Landscaping And Yard Service Businesses,297000.00,282500.00,158290.00,1.78,635847.00,0.44,0.2490,109,,265807.00,0.0340
Other Automotive And Boat Businesses,350000.00,260000.00,154000.00,1.69,645549.00,0.4,0.2390,22,,915898.00,0.0180
Commercial Laundry Businesses,310000.00,260000.00,151962.00,1.71,318665.00,0.82,0.4770,6,,100000.00,0.0000
Nursery And Garden Centers,550000.00,395000.00,150000.00,2.63,675000.00,0.59,0.2220,12,,639143.00,0.0170
Locksmith Businesses,187000.00,182500.00,146500.00,1.25,306113.00,0.6,0.4790,4,,456778.00,0.0000
Liquor Stores,395000.00,350000.00,146000.00,2.4,1000000.00,0.35,0.1460,326,,721990.00,0.0020
Clothing And Fabric Manufacturers,329000.00,180000.00,144353.00,1.25,526584.00,0.34,0.2740,12,,530881.00,0.0310
Equipment Rental And Dealers,420000.00,420000.00,140757.50,2.98,568934.00,0.74,0.2470,3,,690595.00,0.0220
Magazines And Newspapers,400000.00,390000.00,140000.00,2.79,453256.00,0.86,0.3090,11,,405474.00,0.0650
Other Education And Children Businesses,346000.00,272500.00,138155.50,1.97,605343.50,0.45,0.2280,17,,405229.00,0.0250
Other Service Businesses,329000.00,294000.00,138119.00,2.13,561863.00,0.52,0.2460,233,,369396.00,0.0240
Greenhouses,835000.00,760000.00,138000.00,5.51,397000.00,1.91,0.3480,2,,,
Accounting Businesses And Ta Practices,279000.00,285000.00,134840.00,2.11,304401.00,0.94,0.4430,86,,375292.00,0.0260
Cleaning Businesses,285000.00,240000.00,133817.00,1.79,456708.00,0.53,0.2930,92,,307422.00,0.0420
Catering Companies,399750.00,330000.00,130720.00,2.52,641038.50,0.51,0.2040,16,,428196.00,0.0220
Paper Manufacturers And Printing Businesses,297000.00,284500.00,129295.00,2.2,523180.50,0.54,0.2470,21,,534538.00,0.0280
Health Food And Nutrition Businesses,200000.00,175000.00,127128.00,1.38,462399.00,0.38,0.2750,15,,403759.00,0.0470
Assisted Living And Nursing Homes,795000.00,722500.00,126500.00,5.71,421729.50,1.71,0.3000,42,,1001535.00,0.0180
Pest Control Businesses,327000.00,292500.00,122500.00,2.39,335795.00,0.87,0.3650,9,,241703.00,0.0310
Production Companies,325000.00,285000.00,121793.00,2.34,563632.00,0.51,0.2160,6,,470021.00,0.0180
Other Travel Businesses,260000.00,167000.00,120399.00,1.39,422519.50,0.4,0.2850,5,,1014900.00,0.0000
Car Dealerships,295000.00,150000.00,120000.00,1.25,1110361.00,0.14,0.1080,9,,563330.00,0.0570
Restaurants,199000.00,180000.00,120000.00,1.5,622084.50,0.29,0.1930,1361,,437671.00,0.0230
Campgrounds And Rv Parks,1200000.00,1125000.00,120000.00,9.38,370000.00,3.04,0.3240,13,,1049382.00,0.0000
Schools,295000.00,210000.00,117300.00,1.79,404032.00,0.52,0.2900,13,,1162537.00,0.0000
Day Care And Child Care Centers,399000.00,310000.00,117110.00,2.65,520000.00,0.6,0.2250,46,,954087.00,0.0120
Bike Shops,177500.00,153500.00,115068.50,1.33,592780.00,0.26,0.1940,9,,366304.00,0.0000
Real Estate Businesses,749000.00,600000.00,114000.00,5.26,720000.00,0.83,0.1580,23,,629370.00,0.0200
Other Retail Businesses,257500.00,217500.00,112500.00,1.93,645457.00,0.34,0.1740,130,,357558.00,0.0380
Dog Daycare And Boarding Businesses,367000.00,307000.00,111355.50,2.76,392542.50,0.78,0.2840,12,,428314.00,0.0160
Massage Businesses,175000.00,155000.00,110236.00,1.41,477031.00,0.32,0.2310,8,,298820.00,0.0330
Donut Shops,162500.00,160000.00,109235.00,1.46,349394.00,0.46,0.3130,6,,248048.00,0.0270
"Glass, Stone And Concrete Manufacturers",225000.00,210000.00,108628.00,1.93,1043546.00,0.2,0.1040,6,,876319.00,0.0000
Bakeries,249000.00,200000.00,108500.00,1.84,540000.00,0.37,0.2010,56,,261930.00,0.0000
Dry Cleaners,275000.00,225000.00,108000.00,2.08,337641.00,0.67,0.3200,73,,356556.00,0.0380
Legal Services And Law Firms,139500.00,139500.00,107908.00,1.29,201437.00,0.69,0.5360,9,,355418.00,0.0300
Insurance Agencies,300000.00,280000.00,100000.00,2.8,170000.00,1.65,0.5880,45,,515227.00,0.0220
Pet Stores And Supply Businesses,188500.00,179250.00,100000.00,1.79,629571.50,0.28,0.1590,21,,474122.00,0.0430
"Bars, Pubs And Taverns",250000.00,220000.00,100000.00,2.2,616480.00,0.36,0.1620,212,,435613.00,0.0090
Convenience Stores,192497.50,157500.00,99500.00,1.58,626605.50,0.25,0.1590,210,,478347.00,0.0080
Juice Bars,179000.00,150000.00,96000.00,1.56,442000.00,0.34,0.2170,23,,248561.00,0.0270
Gyms And Fitness Centers,274500.00,195000.00,95621.00,2.04,438981.50,0.44,0.2180,70,,412196.00,0.0380
Clothing And Accessory Stores,195000.00,155000.00,91872.00,1.69,516000.00,0.3,0.1780,65,,255898.00,0.0180
Routes,119900.00,115000.00,91637.00,1.25,355987.00,0.32,0.2570,498,,477433.00,0.0180
Dollar Stores,100000.00,100000.00,86240.00,1.16,464000.00,0.22,0.1860,13,,248841.00,0.0240
Breweries,295000.00,265000.00,82771.00,3.2,767000.00,0.35,0.1080,13,,490475.00,0.0140
Nail Salons,105000.00,90000.00,80321.00,1.12,300000.00,0.3,0.2680,19,,202754.00,0.0360
Ice Cream And Frozen Yogurt Shops,184500.00,140000.00,79523.00,1.76,340077.50,0.41,0.2340,123,,248048.00,0.0270
Spas,139900.00,120000.00,76874.00,1.56,250422.00,0.48,0.3070,18,,254443.00,0.0710
Smoke Shops,114500.00,110000.00,75671.00,1.45,414500.00,0.27,0.1830,29,,329010.00,0.0000
Laundromats And Coin Laundry Businesses,225000.00,205000.00,75318.00,2.72,203000.00,1.01,0.3710,107,,764654.00,0.0270
Food Trucks,149000.00,137450.00,74848.50,1.84,246084.50,0.56,0.3040,9,,94547.00,0.0270
Cell Phone And Computer Repair And Service Businesses,142497.50,110000.00,74086.00,1.48,315301.00,0.35,0.2350,19,,426907.00,0.0150
Other Entertainment And Recreation Businesses,155000.00,135000.00,73506.00,1.84,242954.00,0.56,0.3030,38,,492147.00,0.0300
Pet Grooming Businesses,127450.00,94500.00,70939.00,1.33,267228.50,0.35,0.2660,26,,428314.00,0.0160
Graphic And Web Design Businesses,157000.00,150000.00,70874.00,2.12,328995.50,0.46,0.2150,6,,356513.00,0.0040
Tanning Salons,112500.00,112500.00,70172.50,1.6,198901.50,0.57,0.3530,7,,310697.00,0.0450
Golf Courses And Service Businesses,135000.00,126000.00,70012.00,1.8,555667.00,0.23,0.1260,3,,899929.00,0.0420
Flower Shops,125000.00,114999.00,70000.00,1.64,372000.00,0.31,0.1880,35,,221706.00,0.0140
Coffee Shops And Cafes,120000.00,99000.00,67983.00,1.46,379956.00,0.26,0.1790,118,,248048.00,0.0270
Art Galleries,114900.00,97000.00,64000.00,1.52,210000.00,0.46,0.3050,6,,280710.00,0.0000
Hair Salons And Barber Shops,99000.00,94750.00,61465.50,1.54,329086.00,0.29,0.1870,109,,239228.00,0.0220
Other Pet Service Businesses,45000.00,42500.00,56957.00,0.75,123969.00,0.34,0.4590,8,,933910.00,0.0040
Vending Machine Businesses,110000.00,95000.00,43644.00,2.18,77417.00,1.23,0.5640,18,,441350.00,0.0270
Bowling Alleys,139000.00,130000.00,36895.00,3.52,120568.00,1.08,0.3060,3,,1083662.00,0.0000
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
