industry,median_asking_price,median_sold_price,median_sde,price_to_sde_multiple,median_revenue,price_to_revenue_multiple,cashflow_margin_pct,listings_count,days_on_market,median_sba_loan,sba_default_rate_pct
Chemical And Related Product Manufacturers,4900000.00,4800000.00,1410000.00,3.4,4600000.00,1.04,0.3060,3,,711766.00,0.0000
Energy And Petroleum Production Businesses,3447500.00,3337500.00,764767.50,4.36,5185119.50,0.64,0.1480,5,,665929.00,0.0000
Industrial And Commercial Machinery Manufacturers,2671500.00,2350000.00,553500.00,4.25,2758501.00,0.85,0.2010,16,,768719.00,0.0160
Towing Companies,1295000.00,1200000.00,545000.00,2.2,1500000.00,0.8,0.3630,12,,579025.00,0.0100
Limo And Passenger Transportation Businesses,1531500.00,1431500.00,470680.00,3.04,2263151.50,0.63,0.2080,6,,592426.00,0.0840
Marine Boat Services And Dealers,1090000.00,1050000.00,431515.00,2.43,4167705.50,0.25,0.1030,20,,1243984.00,0.0000
Medical Billing Businesses,1570000.00,1500000.00,420104.00,3.57,1011200.00,1.48,0.4150,9,,777242.00,0.0320
Lumber And Wood Products Manufacturers,967500.00,999595.50,407071.50,2.46,1472869.00,0.68,0.2760,11,,756842.00,0.0450
Packaging Businesses,1400000.00,1200000.00,404000.00,2.97,2338000.00,0.51,0.1730,4,,671021.00,0.0000
"Auto, Boat And Aircraft Manufacturers",1162500.00,1030000.00,394868.50,2.61,2040507.50,0.5,0.1940,10,,959246.00,0.0210
Metal Product Manufacturers,1200000.00,1140000.00,382584.00,2.98,1617578.00,0.7,0.2360,38,,820376.00,0.0050
Heavy Construction Businesses,949999.00,949999.00,380057.00,2.5,1892069.00,0.5,0.2010,13,,506093.00,0.0140
Other Online And Technology Businesses,1070000.00,989500.00,371707.00,2.66,1458285.50,0.68,0.2550,18,,502529.00,0.0360
Concrete Businesses,700000.00,700000.00,371000.00,1.89,1173300.00,0.6,0.3160,11,,329790.00,0.0310
Banking And Loan Businesses,1275000.00,1250000.00,350500.00,3.57,1459500.00,0.86,0.2400,8,,290300.00,0.0000
Furniture And Fitures Manufacturers,1200000.00,1100000.00,350000.00,3.14,2000000.00,0.55,0.1750,16,,486245.00,0.0230
Other Manufacturing Businesses,975000.00,800000.00,348100.00,2.3,1665636.00,0.48,0.2090,36,,557198.00,0.0080
Machine Shops And Tool Manufacturers,1064709.00,1200000.00,339770.00,3.53,1420594.00,0.84,0.2390,43,,683689.00,0.0040
Storage Facilities And Warehouses,550000.00,447000.00,310881.00,1.44,1412578.00,0.32,0.2200,8,,1031613.00,0.0000
Plumbing Businesses,595000.00,900000.00,309000.00,2.91,1341304.00,0.67,0.2300,33,,406881.00,0.0250
Staffing Agencies,775000.00,475000.00,301948.00,1.57,1556239.50,0.31,0.1940,11,,590153.00,0.0350
Other Building And Construction Businesses,725000.00,670000.00,300794.00,2.23,1495474.00,0.45,0.2010,198,,298243.00,0.0400
"Dance, Pilates And Yoga Studios",699000.00,682000.00,300000.00,2.27,553801.00,1.23,0.5420,7,,412196.00,0.0380
Pharmacies,550000.00,530000.00,295500.00,1.79,1873868.00,0.28,0.1580,37,,821923.00,0.0170
Building Material And Hardware Stores,852000.00,865000.00,292787.50,2.95,1773500.00,0.49,0.1650,27,,639430.00,0.0110
Casinos,879000.00,702000.00,290000.00,2.42,517000.00,1.36,0.5610,2,,,
It And Software Service Businesses,1049500.00,957500.00,287824.00,3.33,1425818.50,0.67,0.2020,39,,484390.00,0.0190
Moving And Shipping Businesses,785000.00,785000.00,286000.00,2.74,1165523.50,0.67,0.2450,34,,383481.00,0.1380
Electrical And Mechanical Contracting Businesses,600000.00,595000.00,282914.00,2.1,1212300.00,0.49,0.2330,43,,424343.00,0.0260
Grocery Stores And Supermarkets,699000.00,600000.00,280000.00,2.14,2900000.00,0.21,0.0970,57,,550702.00,0.0140
Hotels,2310000.00,2200000.00,268500.00,8.19,792129.00,2.78,0.3390,13,,2111764.00,0.0010
Electronic And Electrical Equipment Manufacturers,1000000.00,1000000.00,266500.00,3.75,1775000.00,0.56,0.1500,13,,959246.00,0.0210
