industry,median_asking_price,median_sold_price,median_sde,price_to_sde_multiple,median_revenue,price_to_revenue_multiple,cashflow_margin_pct,listings_count,days_on_market,median_sba_loan,sba_default_rate_pct
Packaging Businesses,7872998.00,7125000.00,1132611.00,6.29,6919297.00,1.03,0.1640,4,,1407643.00,0.0000
Production Companies,2175000.00,2050000.00,685395.00,2.99,2137645.00,0.96,0.3210,4,,507007.00,0.0000
Legal Services And Law Firms,1225000.00,1083500.00,542500.00,2,1087500.00,1,0.4990,7,,478294.00,0.0100
Towing Companies,1900000.00,1850000.00,500000.00,3.7,2446794.00,0.76,0.2040,9,,589741.00,0.0110
Rubber And Plastic Products Manufacturers,1525000.00,1525000.00,466149.00,3.27,1700000.00,0.9,0.2740,17,,1021501.00,0.0080
Trucking Companies,1299000.00,1200000.00,424996.00,2.82,1850069.00,0.65,0.2300,65,,316279.00,0.0260
Heavy Construction Businesses,1250000.00,1000000.00,410481.00,2.44,1870957.00,0.53,0.2190,32,,556546.00,0.0130
Graphic And Web Design Businesses,1300000.00,1250000.00,404024.00,3.09,749755.00,1.67,0.5390,5,,489504.00,0.0250
Banking And Loan Businesses,950000.00,825000.00,401932.00,2.05,550000.00,1.5,0.7310,2,,520000.00,0.0000
Electrical And Mechanical Contracting Businesses,1010000.00,1000000.00,398830.00,2.51,1602840.00,0.62,0.2490,49,,537675.00,0.0100
Equipment Rental And Dealers,850000.00,550000.00,373000.00,1.47,2087500.00,0.26,0.1790,10,,804833.00,0.0100
Electronic And Electrical Equipment Manufacturers,800000.00,760000.00,352128.00,2.16,1300813.00,0.58,0.2710,23,,895769.00,0.0290
Car Dealerships,1150000.00,995000.00,350000.00,2.84,2063817.00,0.48,0.1700,27,,1116333.00,0.0120
Other Manufacturing Businesses,1200000.00,1070000.00,348886.00,3.07,1200000.00,0.89,0.2910,71,,796764.00,0.0070
Casinos,399000.00,375000.00,346891.00,1.08,665201.00,0.56,0.5210,2,,,
Durable Goods Wholesalers And Distributors,899500.00,900000.00,345121.00,2.61,1783883.00,0.5,0.1940,52,,904803.00,0.0120
"Glass, Stone And Concrete Manufacturers",1197500.00,1075000.00,343500.00,3.13,1315000.00,0.82,0.2610,12,,829730.00,0.0080
Storage Facilities And Warehouses,1600000.00,1600000.00,338461.00,4.73,1510970.00,1.06,0.2240,10,,1016416.00,0.0000
Plumbing Businesses,599000.00,452500.00,314746.00,1.44,1094611.00,0.41,0.2870,35,,562454.00,0.0210
Grocery Stores And Supermarkets,535000.00,500000.00,305536.00,1.64,1561165.00,0.32,0.1960,63,,805623.00,0.0140
Other Building And Construction Businesses,695000.00,675000.00,300000.00,2.25,1400000.00,0.48,0.2140,270,,461811.00,0.0220
Home Health Care Businesses,1045067.00,900000.00,298619.00,3.01,1410732.00,0.64,0.2120,69,,663718.00,0.0120
Lumber And Wood Products Manufacturers,1172000.00,1014703.00,297885.00,3.41,1434000.00,0.71,0.2080,26,,901420.00,0.0000
Machine Shops And Tool Manufacturers,850000.00,830000.00,295500.00,2.81,945000.00,0.88,0.3130,59,,894009.00,0.0070
Metal Product Manufacturers,781000.00,758500.00,295000.00,2.57,1031176.00,0.74,0.2860,53,,1006247.00,0.0000
Architecture And Engineering Firms,774500.00,749500.00,292946.00,2.56,1020086.00,0.73,0.2870,16,,606625.00,0.0040
Chemical And Related Product Manufacturers,1106000.00,1050000.00,290984.00,3.61,2183164.00,0.48,0.1330,4,,1020055.00,0.0110
Bike Shops,475000.00,466500.00,290428.00,1.61,1384900.00,0.34,0.2100,13,,596081.00,0.0050
Staffing Agencies,880000.00,800000.00,289000.00,2.77,1300000.00,0.62,0.2220,20,,610056.00,0.0520
Waste Management And Recycling Businesses,1000000.00,825000.00,285800.00,2.89,755000.00,1.09,0.3790,22,,461218.00,0.0280
Building Material And Hardware Stores,809500.00,837500.00,280416.00,2.99,1682068.00,0.5,0.1670,49,,758375.00,0.0100
Other Travel Businesses,700000.00,660000.00,280000.00,2.36,886000.00,0.74,0.3160,8,,1134178.00,0.0000
Industrial And Commercial Machinery Manufacturers,1077500.00,940000.00,270558.00,3.47,962066.00,0.98,0.2810,9,,959781.00,0.0110
Medical Device And Product Manufacturers,850000.00,749000.00,266420.00,2.81,711995.00,1.05,0.3740,8,,1176247.00,0.0290
Other Transportation And Storage Businesses,815000.00,725000.00,260685.00,2.78,929492.00,0.78,0.2810,16,,755576.00,0.0150
Energy And Petroleum Production Businesses,550000.00,450000.00,260000.00,1.73,700000.00,0.64,0.3710,6,,1482594.00,0.0000
It And Software Service Businesses,680000.00,650000.00,258553.00,2.51,911563.00,0.71,0.2840,35,,595738.00,0.0110
Marinas And Fishing Businesses,700000.00,665000.00,254609.00,2.61,517183.00,1.29,0.4920,10,,1075429.00,0.0000
"Auto, Boat And Aircraft Manufacturers",699000.00,700000.00,250000.00,2.8,900000.00,0.78,0.2780,10,,895769.00,0.0290
Furniture And Fitures Manufacturers,512475.00,500000.00,247942.00,2.02,1335762.00,0.37,0.1860,15,,773783.00,0.0200
Websites And Ecommerce Businesses,857500.00,850000.00,247560.00,3.43,812923.00,1.05,0.3040,364,,540632.00,0.0340
Hvac Businesses,695000.00,575000.00,245515.00,2.34,1443079.00,0.4,0.1700,105,,558455.00,0.0210
Software And App Companies,625000.00,610000.00,245000.00,2.49,659915.00,0.92,0.3710,23,,,
Concrete Businesses,490000.00,490000.00,228962.00,2.14,952594.00,0.51,0.2400,13,,409817.00,0.0180
Other Financial Services Businesses,625000.00,575000.00,226621.00,2.54,465696.00,1.23,0.4870,23,,768215.00,0.0070
All Non-Classifiable Establishments,850000.00,795000.00,224000.00,3.55,1031880.00,0.77,0.2170,35,,401297.00,0.0940
Nursery And Garden Centers,537500.00,462500.00,219990.00,2.1,1103405.00,0.42,0.1990,10,,551441.00,0.0000
Furniture And Furnishings Stores,500000.00,585000.00,214821.00,2.72,1188577.00,0.49,0.1810,47,,785849.00,0.0180
Limo And Passenger Transportation Businesses,475000.00,425000.00,213000.00,2,754519.00,0.56,0.2820,15,,458450.00,0.0160
All Businesses,628595.91,577789.05,205298.16,2.6,827249.19,0.79,0.2900,8394,,727794.00,0.0120
Other Automotive And Boat Businesses,550000.00,485000.00,205000.00,2.37,1067289.00,0.45,0.1920,32,,1160705.00,0.0090
Security Businesses,499995.00,385000.00,203829.00,1.89,761183.00,0.51,0.2680,18,,448155.00,0.0340
Pet Stores And Supply Businesses,497500.00,432500.00,201040.00,2.15,1742310.00,0.25,0.1150,15,,705747.00,0.0200
Nightclubs And Theaters,800000.00,800000.00,200000.00,4,,,,6,,629662.00,0.0000
Other Communication And Media Businesses,599000.00,599000.00,198465.00,3.02,812701.00,0.74,0.2440,16,,809681.00,0.0000
Car Washes,1075000.00,1000000.00,196451.00,5.09,309100.00,3.24,0.6360,67,,1727843.00,0.0050
Clothing And Fabric Manufacturers,557500.00,552500.00,195574.00,2.83,1026921.00,0.54,0.1900,10,,838665.00,0.0190
Art Galleries,399000.00,300000.00,194536.00,1.54,429879.00,0.7,0.4530,6,,595122.00,0.0000
Marine Boat Services And Dealers,404500.00,404500.00,191000.00,2.12,1251026.00,0.32,0.1530,16,,984045.00,0.0000
Other Health Care And Fitness Businesses,499000.00,395000.00,190000.00,2.08,711163.00,0.56,0.2670,73,,427596.00,0.0130
Motels,1495000.00,1400000.00,186630.00,7.5,300000.00,4.67,0.6220,21,,2441763.00,0.0020
Landscaping And Yard Service Businesses,449500.00,456250.00,185500.00,2.46,676762.00,0.67,0.2740,170,,352396.00,0.0150
Paper Manufacturers And Printing Businesses,322500.00,310000.00,185049.00,1.68,609344.00,0.51,0.3040,17,,759963.00,0.0040
Medical Practices,335000.00,335000.00,184622.00,1.81,499471.00,0.67,0.3700,90,,762523.00,0.0130
Breweries,872500.00,540000.00,181573.00,2.97,639786.00,0.84,0.2840,12,,628732.00,0.0000
Other Agriculture Businesses,650000.00,900000.00,181000.00,4.97,1296000.00,0.69,0.1400,12,,708901.00,0.0070
Nondurable Goods Wholesalers And Distributors,500000.00,420000.00,175493.00,2.39,967958.00,0.43,0.1810,29,,876948.00,0.0130
Schools,540000.00,500000.00,175000.00,2.86,454969.00,1.1,0.3850,17,,1223195.00,0.0000
Other Service Businesses,449000.00,400000.00,175000.00,2.29,642239.00,0.62,0.2730,309,,484020.00,0.0190
Bed And Breakfasts,1350000.00,1350000.00,173305.00,7.79,328000.00,4.12,0.5280,18,,1054700.00,0.0000
Greenhouses,637000.00,752500.00,172641.00,4.36,1024864.00,0.73,0.1690,6,,,
Preschools,700000.00,500000.00,170689.00,2.93,466317.00,1.07,0.3660,18,,964695.00,0.0000
Campgrounds And Rv Parks,1620000.00,1585000.00,167535.00,9.46,288178.00,5.5,0.5810,14,,1141503.00,0.0000
Liquor Stores,405000.00,392500.00,167500.00,2.34,1199051.00,0.33,0.1400,254,,885785.00,0.0030
Cell Phone And Computer Repair And Service Businesses,324000.00,294500.00,167088.00,1.76,669830.00,0.44,0.2490,21,,356151.00,0.0000
Food And Related Product Manufacturers,499900.00,499900.00,165260.00,3.02,869015.00,0.58,0.1900,25,,731372.00,0.0100
Accounting Businesses And Ta Practices,399900.00,380000.00,160000.00,2.38,374138.00,1.02,0.4280,75,,476200.00,0.0080
Auto Repair And Service Shops,425000.00,400000.00,159699.00,2.5,698804.00,0.57,0.2290,271,,596926.00,0.0100
Moving And Shipping Businesses,453000.00,405000.00,159165.00,2.54,772000.00,0.52,0.2060,36,,530441.00,0.0560
Sign Manufacturers And Businesses,349500.00,328500.00,158090.00,2.08,617896.00,0.53,0.2560,31,,716202.00,0.0000
Other Retail Businesses,369450.00,347500.00,156918.00,2.21,748062.00,0.46,0.2100,196,,482723.00,0.0110
Other Pet Service Businesses,390000.00,390000.00,155247.00,2.51,415783.00,0.94,0.3730,20,,1236352.00,0.0030
Dog Daycare And Boarding Businesses,400000.00,375000.00,152000.00,2.47,480000.00,0.78,0.3170,22,,651029.00,0.0030
Other Beauty And Personal Care Businesses,288000.00,287500.00,150626.00,1.91,530543.00,0.54,0.2840,22,,378581.00,0.0080
Other Online And Technology Businesses,470000.00,462500.00,150500.00,3.07,622000.00,0.74,0.2420,26,,259919.00,0.0000
Dollar Stores,160000.00,125000.00,150000.00,0.83,360000.00,0.35,0.4170,5,,354944.00,0.0170
Jewelry Stores,385000.00,300000.00,146934.00,2.04,579402.00,0.52,0.2540,8,,422411.00,0.0320
Golf Courses And Service Businesses,512500.00,382500.00,144204.00,2.65,420795.00,0.91,0.3430,8,,1037506.00,0.0000
Check Cashing Businesses,325000.00,312500.00,143460.00,2.18,299453.00,1.04,0.4790,2,,1183200.00,0.0000
Assisted Living And Nursing Homes,950000.00,785000.00,136000.00,5.77,408498.00,1.92,0.3330,67,,1217146.00,0.0120
Property Management Businesses,337000.00,300000.00,133648.00,2.24,446081.00,0.67,0.3000,61,,411289.00,0.0310
Gas Stations,399000.00,385000.00,131138.00,2.94,1584377.00,0.24,0.0830,233,,1486664.00,0.0010
"Bars, Pubs And Taverns",299450.00,285000.00,128347.00,2.22,649913.00,0.44,0.1980,206,,572959.00,0.0000
Other Entertainment And Recreation Businesses,279000.00,279900.00,126966.00,2.2,366719.00,0.76,0.3460,62,,766464.00,0.0110
Catering Companies,400000.00,235000.00,126476.00,1.86,580000.00,0.41,0.2180,6,,558787.00,0.0200
Pest Control Businesses,339000.00,250000.00,125591.00,1.99,398578.00,0.63,0.3150,21,,252400.00,0.0230
Day Care And Child Care Centers,349000.00,300000.00,124945.00,2.4,468985.00,0.64,0.2660,86,,964695.00,0.0000
Insurance Agencies,359375.00,336875.00,122129.00,2.76,186846.00,1.8,0.6540,34,,638445.00,0.0100
Bakeries,279500.00,255000.00,120317.00,2.12,563053.00,0.45,0.2140,77,,378047.00,0.0000
Banquet Halls,135000.00,120000.00,120000.00,1,200000.00,0.6,0.6000,7,,1014744.00,0.0000
Pharmacies,275000.00,262500.00,116413.00,2.25,675000.00,0.39,0.1730,31,,851558.00,0.0040
Cleaning Businesses,225000.00,199000.00,115000.00,1.73,328470.00,0.61,0.3500,137,,345746.00,0.0200
Dental Practices,325000.00,325000.00,113301.00,2.87,460820.00,0.71,0.2460,19,,1077563.00,0.0010
Convenience Stores,225000.00,220000.00,113000.00,1.95,619300.00,0.36,0.1830,170,,546762.00,0.0090
Commercial Laundry Businesses,295000.00,275000.00,112000.00,2.46,198000.00,1.39,0.5660,9,,743621.00,0.0710
Restaurants,219450.00,194500.00,110038.00,1.77,600000.00,0.32,0.1830,1452,,610214.00,0.0150
Junk And Salvage Yards,287500.00,300000.00,109648.00,2.74,685082.00,0.44,0.1600,4,,1240575.00,0.0500
Flower Shops,195000.00,175000.00,106344.00,1.65,408000.00,0.43,0.2610,51,,272230.00,0.0000
Health Food And Nutrition Businesses,185000.00,180000.00,103000.00,1.75,550000.00,0.33,0.1870,18,,570003.00,0.0150
Other Wholesalers And Distributors,235000.00,235000.00,101000.00,2.33,575000.00,0.41,0.1760,87,,585091.00,0.0080
Dry Cleaners,225000.00,180000.00,100000.00,1.8,320000.00,0.56,0.3130,79,,506834.00,0.0130
Clothing And Accessory Stores,199000.00,185000.00,100000.00,1.85,470600.00,0.39,0.2130,66,,334031.00,0.0210
Locksmith Businesses,125000.00,100000.00,98121.00,1.02,263923.00,0.38,0.3720,4,,634489.00,0.0000
Nail Salons,143725.00,126500.00,96500.00,1.31,323231.00,0.39,0.2980,43,,311887.00,0.0340
Spas,175000.00,162500.00,95614.00,1.7,445714.00,0.36,0.2140,31,,335758.00,0.0000
Routes,119000.00,115894.00,94872.00,1.22,319995.00,0.36,0.2960,588,,572360.00,0.0210
Donut Shops,159000.00,159000.00,93500.00,1.7,223700.00,0.71,0.4180,15,,377715.00,0.0110
Travel Agencies,225000.00,225000.00,88312.00,2.55,230480.00,0.98,0.3830,4,,489740.00,0.0000
Other Education And Children Businesses,155000.00,135000.00,84000.00,1.61,217228.00,0.62,0.3870,25,,511835.00,0.0120
Tree Farm And Orchards,700000.00,560000.00,80455.00,6.96,220459.00,2.54,0.3650,2,,877625.00,0.0000
Gyms And Fitness Centers,229000.00,175000.00,80442.00,2.18,302056.00,0.58,0.2660,63,,500836.00,0.0130
Magazines And Newspapers,174500.00,120000.00,80069.00,1.5,289911.00,0.41,0.2760,6,,913326.00,0.0000
Food Trucks,99500.00,99500.00,80000.00,1.24,239358.00,0.42,0.3340,15,,113914.00,0.0140
Ice Cream And Frozen Yogurt Shops,195000.00,168000.00,80000.00,2.1,330000.00,0.51,0.2420,153,,377715.00,0.0110
Massage Businesses,231813.00,185000.00,78761.00,2.35,471001.00,0.39,0.1670,15,,405133.00,0.0090
Pet Grooming Businesses,159000.00,140000.00,77305.00,1.81,206226.00,0.68,0.3750,35,,651029.00,0.0030
Medical Billing Businesses,315000.00,315000.00,75879.00,4.15,347778.00,0.91,0.2180,2,,583938.00,0.0000
Juice Bars,142500.00,112500.00,75790.00,1.48,453635.00,0.25,0.1670,30,,377715.00,0.0110
Coffee Shops And Cafes,127500.00,127500.00,75106.00,1.7,327500.00,0.39,0.2290,147,,377715.00,0.0110
Hair Salons And Barber Shops,118900.00,90000.00,68000.00,1.32,251700.00,0.36,0.2700,130,,253299.00,0.0130
Smoke Shops,120000.00,107500.00,66495.00,1.62,467167.00,0.23,0.1420,52,,362810.00,0.0000
Tanning Salons,99000.00,99000.00,60571.00,1.63,211899.00,0.47,0.2860,10,,378581.00,0.0080
Laundromats And Coin Laundry Businesses,225000.00,210000.00,60000.00,3.5,169500.00,1.24,0.3540,141,,838441.00,0.0050
"Dance, Pilates And Yoga Studios",119000.00,90000.00,57400.00,1.57,247429.00,0.36,0.2320,14,,500836.00,0.0130
Vending Machine Businesses,114450.00,82500.00,45642.00,1.81,92788.00,0.89,0.4920,16,,447856.00,0.0090
Vineyards And Wineries,49000.00,49000.00,34492.00,1.42,182568.00,0.27,0.1890,4,,851159.00,0.0000
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
