industry,median_asking_price,median_sold_price,median_sde,price_to_sde_multiple,median_revenue,price_to_revenue_multiple,cashflow_margin_pct,listings_count,days_on_market,median_sba_loan,sba_default_rate_pct
Medical Practices,299500.00,275000.00,177534.00,1.55,550488.00,0.5,0.3230,51,,544255.00,0.0350
Lumber And Wood Products Manufacturers,522000.00,503000.00,173000.00,2.91,907500.00,0.55,0.1910,20,,672730.00,0.0380
Electronic And Electrical Equipment Manufacturers,471000.00,430000.00,171320.00,2.51,1147842.00,0.37,0.1490,17,,679520.00,0.0090
Medical Billing Businesses,625000.00,600000.00,168000.00,3.57,590000.00,1.02,0.2850,11,,558039.00,0.0370
Bowling Alleys,670000.00,650000.00,166000.00,3.92,1600000.00,0.41,0.1040,3,,1076180.00,0.0000
Nursery And Garden Centers,285000.00,377500.00,164883.00,2.29,800656.00,0.47,0.2060,9,,354010.00,0.0140
Other Agriculture Businesses,350000.00,350000.00,163704.00,2.14,811000.00,0.43,0.2020,11,,470288.00,0.0100
Health Food And Nutrition Businesses,330000.00,330000.00,163224.00,2.02,482388.00,0.68,0.3380,9,,316844.00,0.0570
Preschools,472500.00,424500.00,163060.00,2.6,726371.00,0.58,0.2240,41,,910181.00,0.0120
Travel Agencies,401377.00,338500.00,161785.00,2.09,781789.00,0.43,0.2070,6,,197784.00,0.0970
Equipment Rental And Dealers,677500.00,502500.00,161062.00,3.12,1056629.00,0.48,0.1520,9,,475294.00,0.0400
Gas Stations,375000.00,375000.00,160000.00,2.34,1566100.00,0.24,0.1020,265,,1156891.00,0.0020
All Non-Classifiable Establishments,372000.00,357500.00,155328.00,2.3,672384.00,0.53,0.2310,33,,209367.00,0.1130
Furniture And Furnishings Stores,217000.00,215000.00,154736.00,1.39,843000.00,0.26,0.1840,32,,348975.00,0.0590
Other Health Care And Fitness Businesses,349000.00,335000.00,150118.00,2.23,706000.00,0.47,0.2130,92,,278943.00,0.0250
Production Companies,375000.00,300000.00,150000.00,2,861700.00,0.35,0.1740,7,,312889.00,0.0540
Catering Companies,298500.00,269500.00,149590.00,1.8,738580.00,0.36,0.2030,10,,477058.00,0.0920
Food And Related Product Manufacturers,474000.00,425000.00,148127.00,2.87,666895.00,0.64,0.2220,22,,459011.00,0.0340
Property Management Businesses,395000.00,335000.00,148000.00,2.26,497869.00,0.67,0.2970,44,,370145.00,0.0470
Paper Manufacturers And Printing Businesses,350000.00,350000.00,145000.00,2.41,614884.00,0.57,0.2360,27,,453239.00,0.0460
Auto Repair And Service Shops,340000.00,295000.00,142379.00,2.07,671890.00,0.44,0.2120,228,,358111.00,0.0400
Liquor Stores,365000.00,345000.00,142000.00,2.43,932950.00,0.37,0.1520,277,,635348.00,0.0200
Day Care And Child Care Centers,395000.00,390000.00,137467.00,2.84,541591.00,0.72,0.2540,130,,910181.00,0.0120
Other Beauty And Personal Care Businesses,272500.00,245000.00,134960.00,1.82,449139.00,0.55,0.3000,29,,315840.00,0.0550
Limo And Passenger Transportation Businesses,400000.00,375000.00,133904.00,2.8,448037.00,0.84,0.2990,21,,285977.00,0.1110
Other Entertainment And Recreation Businesses,322404.00,274000.00,132985.00,2.06,404000.00,0.68,0.3290,85,,551157.00,0.0580
Graphic And Web Design Businesses,331463.00,282500.00,130960.00,2.16,454600.00,0.62,0.2880,12,,306624.00,0.0640
Landscaping And Yard Service Businesses,299000.00,250000.00,130866.00,1.91,455305.00,0.55,0.2870,159,,261586.00,0.0540
Clothing And Fabric Manufacturers,279000.00,240000.00,128639.00,1.87,382900.00,0.63,0.3360,18,,518364.00,0.1080
Nightclubs And Theaters,299500.00,260000.00,127695.00,2.04,519204.00,0.5,0.2460,15,,434265.00,0.0360
Other Communication And Media Businesses,284500.00,210000.00,126892.00,1.65,311629.00,0.67,0.4070,18,,421278.00,0.0250
Accounting Businesses And Ta Practices,260000.00,257000.00,125000.00,2.06,300000.00,0.86,0.4170,82,,304576.00,0.0410
Other Service Businesses,250000.00,212500.00,125000.00,1.7,422433.00,0.5,0.2960,434,,309522.00,0.0500
Assisted Living And Nursing Homes,437500.00,372500.00,124830.00,2.98,375100.00,0.99,0.3330,30,,801434.00,0.0180
Spas,249000.00,195000.00,121480.00,1.61,622000.00,0.31,0.1950,44,,321732.00,0.0000
Other Retail Businesses,237500.00,200000.00,120000.00,1.67,497957.00,0.4,0.2410,177,,252313.00,0.0630
Golf Courses And Service Businesses,149900.00,125000.00,115000.00,1.09,473512.00,0.26,0.2430,6,,953745.00,0.0000
Cleaning Businesses,225000.00,200000.00,114780.00,1.74,371159.00,0.54,0.3090,150,,234579.00,0.0520
Magazines And Newspapers,224000.00,197500.00,112672.00,1.75,283672.00,0.7,0.3970,15,,628669.00,0.0610
Cell Phone And Computer Repair And Service Businesses,189500.00,147000.00,111479.00,1.32,633168.00,0.23,0.1760,22,,531631.00,0.0560
Legal Services And Law Firms,220000.00,185000.00,111377.00,1.66,388994.00,0.48,0.2860,5,,260481.00,0.0440
Banquet Halls,460000.00,400000.00,109579.00,3.65,564301.00,0.71,0.1940,8,,909846.00,0.0110
Restaurants,200000.00,180000.00,109000.00,1.65,600000.00,0.3,0.1820,2214,,427538.00,0.0450
Donut Shops,200000.00,200000.00,108513.00,1.84,340000.00,0.59,0.3190,16,,237813.00,0.0560
Convenience Stores,219000.00,185000.00,108240.00,1.71,750000.00,0.25,0.1440,264,,391558.00,0.0530
Smoke Shops,144000.00,119000.00,108000.00,1.1,500000.00,0.24,0.2160,34,,168728.00,0.0000
Other Education And Children Businesses,249000.00,225000.00,106199.00,2.12,350000.00,0.64,0.3030,30,,338036.00,0.0620
"Bars, Pubs And Taverns",249000.00,200000.00,102500.00,1.95,615005.00,0.33,0.1670,300,,397724.00,0.0390
Bakeries,175000.00,149000.00,101704.00,1.47,420852.00,0.35,0.2420,110,,280569.00,0.0230
Bike Shops,195000.00,180000.00,100000.00,1.8,600000.00,0.3,0.1670,9,,325124.00,0.0350
Dry Cleaners,239000.00,215000.00,100000.00,2.15,311642.00,0.69,0.3210,179,,389990.00,0.0560
Food Trucks,179000.00,150000.00,99017.00,1.51,263802.00,0.57,0.3750,14,,94137.00,0.0210
Insurance Agencies,352495.00,320000.00,98489.00,3.25,237961.00,1.34,0.4140,51,,348487.00,0.0390
Pet Stores And Supply Businesses,167780.00,147500.00,97498.00,1.51,662941.00,0.22,0.1470,13,,379727.00,0.0530
Pawn Shops,122500.00,163825.00,93500.00,1.75,219591.00,0.75,0.4260,5,,172215.00,0.0160
Motels,579000.00,480000.00,93402.00,5.14,191302.00,2.51,0.4880,24,,2256645.00,0.0070
Massage Businesses,155000.00,149900.00,93096.00,1.61,650000.00,0.23,0.1430,25,,297155.00,0.0490
Gyms And Fitness Centers,225000.00,190000.00,93000.00,2.04,355716.00,0.53,0.2610,102,,357725.00,0.0810
Clothing And Accessory Stores,149950.00,145000.00,91500.00,1.58,452317.00,0.32,0.2020,92,,198442.00,0.0580
Other Wholesalers And Distributors,224500.00,224500.00,91500.00,2.45,482500.00,0.47,0.1900,81,,485203.00,0.1000
Nail Salons,150000.00,145000.00,90326.00,1.61,300000.00,0.48,0.3010,42,,221953.00,0.0740
Routes,122950.00,120000.00,87050.00,1.38,410904.00,0.29,0.2120,559,,349610.00,0.0560
Breweries,279000.00,279000.00,86594.00,3.22,351763.00,0.79,0.2460,11,,414491.00,0.0140
Nondurable Goods Wholesalers And Distributors,264000.00,190300.00,85137.00,2.24,573942.00,0.33,0.1480,52,,474032.00,0.0580
Marinas And Fishing Businesses,225000.00,216900.00,85000.00,2.55,610206.00,0.36,0.1390,5,,1208620.00,0.0000
Flower Shops,120000.00,108000.00,83507.00,1.29,438502.00,0.25,0.1900,46,,132943.00,0.0570
Schools,159988.00,150000.00,81000.00,1.85,375000.00,0.4,0.2160,25,,951896.00,0.0250
Other Travel Businesses,157000.00,131250.00,77622.00,1.69,157817.00,0.83,0.4920,6,,1038211.00,0.0180
Juice Bars,155000.00,145000.00,75834.00,1.91,400728.00,0.36,0.1890,29,,237452.00,0.0550
Jewelry Stores,145000.00,90000.00,75514.00,1.19,287373.00,0.31,0.2630,7,,278314.00,0.0510
"Dance, Pilates And Yoga Studios",175000.00,145000.00,73608.00,1.97,250000.00,0.58,0.2940,23,,357725.00,0.0810
Ice Cream And Frozen Yogurt Shops,149000.00,130000.00,72344.00,1.8,281000.00,0.46,0.2580,164,,237813.00,0.0560
Commercial Laundry Businesses,162500.00,148250.00,71155.00,2.08,183500.00,0.81,0.3880,16,,969638.00,0.0630
Pet Grooming Businesses,125000.00,115000.00,70000.00,1.64,226170.00,0.51,0.3090,47,,486709.00,0.0490
Coffee Shops And Cafes,149950.00,120000.00,69283.00,1.73,346153.00,0.35,0.2000,232,,237813.00,0.0560
Laundromats And Coin Laundry Businesses,193500.00,180000.00,67071.00,2.68,192500.00,0.94,0.3480,159,,539763.00,0.0130
Locksmith Businesses,149000.00,145000.00,66955.00,2.17,246115.00,0.59,0.2720,9,,250532.00,0.0530
Pest Control Businesses,185000.00,172500.00,65250.00,2.64,221205.00,0.78,0.2950,7,,201307.00,0.0480
Other Pet Service Businesses,98000.00,87500.00,64700.00,1.35,141170.00,0.62,0.4580,15,,929325.00,0.0070
Art Galleries,129500.00,120000.00,62346.00,1.92,201038.00,0.6,0.3100,4,,310766.00,0.0350
Tanning Salons,98000.00,75000.00,59297.00,1.26,180000.00,0.42,0.3290,15,,315840.00,0.0550
Hair Salons And Barber Shops,89500.00,79750.00,57398.00,1.39,285643.00,0.28,0.2010,185,,226403.00,0.0480
Check Cashing Businesses,99900.00,90000.00,55185.00,1.63,147000.00,0.61,0.3750,5,,,
Vending Machine Businesses,86000.00,70000.00,38394.00,1.82,64300.00,1.09,0.5970,20,,379676.00,0.0230
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
