industry,median_asking_price,median_sold_price,median_sde,price_to_sde_multiple,median_revenue,price_to_revenue_multiple,cashflow_margin_pct,listings_count,days_on_market,median_sba_loan,sba_default_rate_pct
Banking And Loan Businesses,2300000.00,2001000.00,1020078.00,1.96,2789268.00,0.72,0.37,3,178,213670.00,0.000
Truck Stops,5130000.00,4514400.00,872883.00,5.17,7023824.00,0.64,0.12,2,222,,
Travel Agencies,5324950.00,4952204.00,621905.00,7.96,2754287.00,1.8,0.23,3,264,165424.00,0.000
Funeral Homes,2550018.00,2269516.00,582816.00,3.89,1394518.00,1.63,0.42,7,354,1044644.00,0.000
Car Dealerships,1900000.00,2052000.00,540000.00,3.8,4803470.00,0.43,0.11,30,244,866429.00,0.047
Energy And Petroleum Production Businesses,1400000.00,1400000.00,500000.00,2.8,2500000.00,0.56,0.20,4,251,1087995.00,0.048
Storage Facilities And Warehouses,1700000.00,1598000.00,477684.00,3.35,2342000.00,0.68,0.20,21,170,871200.00,0.000
Electronic And Electrical Equipment Manufacturers,1375000.00,1320000.00,448390.00,2.94,1605158.00,0.82,0.28,17,259,713660.00,0.009
Electrical And Mechanical Contracting Businesses,1290000.00,1199700.00,420206.00,2.86,1686445.00,0.71,0.25,46,246,379362.00,0.018
Metal Product Manufacturers,1194637.00,1146852.00,414977.00,2.76,1532501.00,0.75,0.27,51,259,781561.00,0.010
Chemical And Related Product Manufacturers,1640095.00,1623694.00,376948.00,4.31,1112352.00,1.46,0.34,6,90,771622.00,0.000
Heavy Construction Businesses,700000.00,637000.00,348336.00,1.83,1069996.00,0.6,0.33,37,204,413554.00,0.003
Catering Companies,795000.00,699600.00,346402.00,2.02,2084900.00,0.34,0.17,16,169,618710.00,0.022
Other Transportation And Storage Businesses,950000.00,940500.00,340000.00,2.77,1566484.00,0.6,0.22,19,146,467937.00,0.013
Other Financial Services Businesses,1400000.00,1274000.00,331001.00,3.85,1200000.00,1.06,0.28,15,176,649449.00,0.036
Lumber And Wood Products Manufacturers,1250000.00,1162500.00,328757.00,3.54,1956056.00,0.59,0.17,18,247,749091.00,0.017
Staffing Agencies,800000.00,744000.00,326154.00,2.28,1312257.00,0.57,0.25,22,206,469783.00,0.031
Architecture And Engineering Firms,985000.00,925900.00,320000.00,2.89,1600000.00,0.58,0.20,20,281,426848.00,0.004
Trucking Companies,980000.00,911400.00,319775.00,2.85,1380023.00,0.66,0.23,64,166,206712.00,0.035
Concrete Businesses,700000.00,637000.00,318680.00,2,1017139.00,0.63,0.31,17,249,422481.00,0.021
Security Businesses,924500.00,832050.00,317384.00,2.62,1213504.00,0.69,0.26,10,169,474757.00,0.000
Other Online And Technology Businesses,825000.00,759000.00,316864.00,2.4,933392.00,0.81,0.34,22,193,438758.00,0.053
Furniture And Fitures Manufacturers,599900.00,575904.00,313586.00,1.84,1186778.00,0.49,0.26,16,245,692635.00,0.013
Greenhouses,599000.00,545090.00,312000.00,1.75,1050000.00,0.52,0.30,8,189,,
Industrial And Commercial Machinery Manufacturers,1475000.00,1563500.00,304799.00,5.13,1400287.00,1.12,0.22,15,186,798886.00,0.017
Medical Billing Businesses,1900000.00,1881000.00,300000.00,6.27,1082000.00,1.74,0.28,9,175,632297.00,0.000
Other Building And Construction Businesses,749000.00,704060.00,295109.00,2.39,1428426.00,0.49,0.21,259,204,338505.00,0.012
