industry,median_asking_price,median_sold_price,median_sde,price_to_sde_multiple,median_revenue,price_to_revenue_multiple,cashflow_margin_pct,listings_count,days_on_market,median_sba_loan,sba_default_rate_pct
Truck Stops,499000.00,398000.00,540873.00,0.74,1333448.00,0.3,0.41,1,5,,
Trucking Companies,1500000.00,1387500.00,533744.00,2.60,2950000.00,0.47,0.18,45,232,214330.00,0.024
Concrete Businesses,1500000.00,1200000.00,450973.00,2.66,2767934.00,0.43,0.16,24,307,329943.00,0.019
Car Dealerships,995000.00,975000.00,444000.00,2.20,9100000.00,0.11,0.05,11,134,700771.00,0.029
Nondurable Goods Wholesalers And Distributors,1497500.00,1340000.00,442450.00,3.03,3350000.00,0.4,0.13,18,192,588152.00,0.01
Electrical And Mechanical Contracting Businesses,1000000.00,1025000.00,437750.00,2.34,2000000.00,0.51,0.22,49,233,384997.00,0.001
Rubber And Plastic Products Manufacturers,2500000.00,2456800.00,437502.00,5.62,1628104.00,1.51,0.27,14,240,1071249.00,0
Metal Product Manufacturers,1350000.00,1303099.00,428750.00,3.04,1868500.00,0.7,0.23,47,223,779780.00,0.005
Lumber And Wood Products Manufacturers,1315432.00,1250000.00,413464.00,3.02,2825665.00,0.44,0.15,22,227,702682.00,0
Staffing Agencies,810000.00,790000.00,400000.00,1.98,1326745.00,0.6,0.30,19,157,308303.00,0.009
Towing Companies,995000.00,1250000.00,395847.00,3.16,1112639.00,1.12,0.36,18,235,388971.00,0.023
Security Businesses,1137500.00,927500.00,395371.00,2.35,1476000.00,0.63,0.27,15,249,461750.00,0.007
Other Manufacturing Businesses,1075000.00,1107284.00,394753.00,2.81,1481873.00,0.75,0.27,88,199,571542.00,0.01
Electronic And Electrical Equipment Manufacturers,974500.00,1170000.00,376767.00,3.11,935225.00,1.25,0.40,19,204,841129.00,0
Other Travel Businesses,1299500.00,1150000.00,358950.00,3.20,2181045.00,0.53,0.17,6,226,1379652.00,0
Other Transportation And Storage Businesses,875000.00,765000.00,355755.00,2.15,1228728.00,0.62,0.29,20,286,466451.00,0.003
Durable Goods Wholesalers And Distributors,1200000.00,950000.00,354903.00,2.68,2295570.00,0.41,0.16,44,230,575891.00,0.012
Other Building And Construction Businesses,800000.00,750000.00,344496.00,2.18,1692132.00,0.44,0.20,303,227,312288.00,0.009
Plumbing Businesses,750000.00,725000.00,340028.00,2.13,1339822.00,0.54,0.25,45,240,383197.00,0.012
Hvac Businesses,897500.00,802500.00,330000.00,2.43,1507623.00,0.53,0.22,108,190,386155.00,0.013
Heavy Construction Businesses,859000.00,750000.00,325000.00,2.31,1767704.00,0.42,0.18,45,219,413081.00,0.002
Equipment Rental And Dealers,985000.00,869000.00,311271.00,2.79,809000.00,1.07,0.39,24,171,452553.00,0.004
Websites And Ecommerce Businesses,960000.00,950000.00,310460.00,3.06,1139700.00,0.83,0.27,257,69,231810.00,0.035
Architecture And Engineering Firms,722500.00,725000.00,306571.00,2.36,1041223.00,0.7,0.29,23,241,466036.00,0.012
Other Wholesalers And Distributors,950000.00,803000.00,305545.00,2.63,1409000.00,0.57,0.22,79,207,592624.00,0.011
Industrial And Commercial Machinery Manufacturers,650000.00,650000.00,300000.00,2.17,1179046.00,0.55,0.25,15,201,844191.00,0.007
Machine Shops And Tool Manufacturers,830000.00,910000.00,300000.00,3.03,1200000.00,0.76,0.25,56,220,653025.00,0.004
Other Financial Services Businesses,795000.00,614000.00,298384.00,2.06,802805.00,0.76,0.37,16,286,519304.00,0.01
Medical Billing Businesses,600000.00,650000.00,295455.00,2.20,614000.00,1.06,0.48,5,98,649052.00,0.035
Greenhouses,487000.00,650000.00,290606.00,2.24,1030983.00,0.63,0.28,5,199,,
Other Agriculture Businesses,913350.00,975000.00,289400.00,3.37,1028401.00,0.95,0.28,10,202,718650.00,0.004
Clothing And Fabric Manufacturers,762500.00,687500.00,285500.00,2.41,1380000.00,0.5,0.21,12,151,422971.00,0.018
Banquet Halls,637500.00,612500.00,285000.00,2.15,1100000.00,0.56,0.26,9,253,1079326.00,0
Chemical And Related Product Manufacturers,1250000.00,1050000.00,285000.00,3.68,1150000.00,0.91,0.25,6,140,996310.00,0.031
Other Automotive And Boat Businesses,750000.00,625000.00,279410.00,2.24,1190032.00,0.53,0.24,30,286,631061.00,0
It And Software Service Businesses,761500.00,750900.00,276341.00,2.72,1065508.00,0.7,0.26,34,134,485595.00,0.002
Funeral Homes,1450000.00,1212500.00,272921.00,4.44,583349.00,2.08,0.47,9,272,776877.00,0
Medical Device And Product Manufacturers,795000.00,450000.00,270000.00,1.67,1165670.00,0.39,0.23,12,169,652887.00,0.013
Waste Management And Recycling Businesses,849500.00,810000.00,267500.00,3.03,1160000.00,0.7,0.23,21,163,408823.00,0.013
Storage Facilities And Warehouses,750000.00,720000.00,267390.00,2.69,1767363.00,0.41,0.15,9,122,1011767.00,0
Furniture And Fixtures Manufacturers,675000.00,650000.00,257086.00,2.53,1250000.00,0.52,0.21,19,222,734625.00,0.007
Junk And Salvage Yards,1245000.00,885500.00,255035.00,3.47,1507635.00,0.59,0.17,8,338,40000.00,0
Building Material And Hardware Stores,634500.00,575000.00,247500.00,2.32,1111816.00,0.52,0.22,35,222,688834.00,0
Graphic And Web Design Businesses,862500.00,862500.00,239989.00,3.59,1258707.00,0.69,0.19,6,138,350910.00,0.015
"Glass, Stone And Concrete Manufacturers",500000.00,399000.00,234230.00,1.70,1107134.00,0.36,0.21,18,245,925871.00,0
Locksmith Businesses,500000.00,482500.00,229956.00,2.10,599025.00,0.81,0.38,8,175,410270.00,0
Home Health Care Businesses,650000.00,600000.00,226843.00,2.65,1006514.00,0.6,0.23,83,166,502392.00,0.013
Nursery And Garden Centers,552500.00,647500.00,220926.00,2.93,1346567.00,0.48,0.16,19,195,437514.00,0
Medical Practices,487000.00,474500.00,220904.00,2.15,743317.00,0.64,0.30,104,225,508937.00,0.004
Other Online And Technology Businesses,650000.00,650000.00,217356.00,2.99,531289.00,1.22,0.41,24,125,523815.00,0
Dental Practices,526196.00,430000.00,212500.00,2.02,679754.00,0.63,0.31,19,154,893193.00,0.006
Sign Manufacturers And Businesses,649000.00,649000.00,210000.00,3.09,901793.00,0.72,0.23,30,267,394059.00,0
Insurance Agencies,687500.00,600000.00,209740.00,2.86,334541.00,1.79,0.63,59,160,468945.00,0.002
All Businesses,560182.40,519511.11,206315.72,2.46,933757.38,0.64,0.26,9060,197,494333.00,0.007
Production Companies,322500.00,287500.00,205671.00,1.40,920066.00,0.31,0.22,2,523,227893.00,0.022
Golf Courses And Service Businesses,474495.00,449995.00,202865.00,2.22,729823.00,0.62,0.28,7,238,825671.00,0
Gas Stations,637500.00,630000.00,202000.00,3.12,2232807.00,0.28,0.09,135,105,1685689.00,0.006
Accounting Businesses And Tax Practices,427000.00,417750.00,199966.00,2.09,422903.00,0.99,0.47,95,172,349860.00,0.003
Landscaping And Yard Service Businesses,450000.00,425000.00,195282.00,2.18,737854.00,0.58,0.27,183,200,304769.00,0.003
Auto Repair And Service Shops,450000.00,425000.00,195123.00,2.18,836415.00,0.51,0.23,265,203,487576.00,0.006
Paper Manufacturers And Printing Businesses,439950.00,407500.00,192500.00,2.12,870902.00,0.47,0.22,46,176,537853.00,0.008
Assisted Living And Nursing Homes,945000.00,860000.00,190000.00,4.53,650158.00,1.32,0.29,54,231,890072.00,0.002
Breweries,399000.00,300000.00,189335.00,1.58,999066.00,0.3,0.19,24,202,665409.00,0
All Non-Classifiable Establishments,395000.00,350000.00,187000.00,1.87,875000.00,0.4,0.21,19,256,265577.00,0
Other Retail Businesses,399900.00,397000.00,182606.00,2.17,771035.00,0.51,0.24,208,177,343282.00,0.008
Car Washes,775000.00,725000.00,182500.00,3.97,557500.00,1.3,0.33,56,171,1216145.00,0.009
Preschools,600000.00,560000.00,181102.00,3.09,600000.00,0.93,0.30,26,205,765711.00,0.001
Furniture And Furnishings Stores,370000.00,355000.00,180528.00,1.97,629219.00,0.56,0.29,33,205,489972.00,0.005
Property Management Businesses,475000.00,420000.00,180224.00,2.33,560000.00,0.75,0.32,54,118,266494.00,0.005
Other Service Businesses,450000.00,400000.00,179677.00,2.23,645000.00,0.62,0.28,288,189,321932.00,0.01
Moving And Shipping Businesses,472500.00,460000.00,178874.00,2.57,817607.00,0.56,0.22,55,162,340952.00,0.011
Limo And Passenger Transportation Businesses,350000.00,345000.00,173024.00,1.99,600000.00,0.58,0.29,15,159,172540.00,0.011
Grocery Stores And Supermarkets,367500.00,340000.00,170288.00,2.00,1250000.00,0.27,0.14,74,193,564906.00,0.001
Liquor Stores,450000.00,417500.00,170000.00,2.46,956059.00,0.44,0.18,214,184,815616.00,0
Energy And Petroleum Production Businesses,499000.00,499000.00,167652.00,2.98,659205.00,0.76,0.25,5,219,742952.00,0
Dog Daycare And Boarding Businesses,530000.00,500000.00,166423.00,3.00,557225.00,0.9,0.30,32,217,494376.00,0
Software And App Companies,372000.00,335000.00,164608.00,2.04,375777.00,0.89,0.44,18,232,622975.00,0.018
Other Entertainment And Recreation Businesses,429000.00,429000.00,164573.00,2.61,456431.00,0.94,0.36,71,207,565501.00,0.007
Bike Shops,490000.00,480000.00,160000.00,3.00,625000.00,0.77,0.26,9,232,290053.00,0
Other Health Care And Fitness Businesses,400000.00,399500.00,155000.00,2.58,535000.00,0.75,0.29,75,203,303040.00,0.003
Check Cashing Businesses,170000.00,150000.00,154929.00,0.97,243307.00,0.62,0.64,4,243,165000.00,0
Catering Companies,254000.00,220000.00,152665.00,1.44,872500.00,0.25,0.18,17,139,403927.00,0.019
Other Education And Children Businesses,399000.00,390000.00,150514.00,2.59,503486.00,0.77,0.30,43,180,317047.00,0.011
Marine Boat Services And Dealers,499000.00,499000.00,150000.00,3.33,650000.00,0.77,0.23,13,223,734782.00,0
Spas,299000.00,299000.00,150000.00,1.99,410000.00,0.73,0.37,50,183,296888.00,0
"Bars, Pubs And Taverns",362500.00,344250.00,150000.00,2.30,950000.00,0.36,0.16,217,176,571011.00,0
Pharmacies,485000.00,439500.00,150000.00,2.93,1616226.00,0.27,0.09,26,148,699449.00,0.018
Art Galleries,249900.00,250000.00,148316.00,1.69,460000.00,0.54,0.32,9,209,452945.00,0
Cleaning Businesses,292648.00,268750.00,143531.00,1.87,446972.00,0.6,0.32,167,167,276515.00,0.01
Packaging Businesses,379450.00,369500.00,143319.00,2.58,420984.00,0.88,0.34,10,132,594714.00,0
Flower Shops,254500.00,229950.00,138214.00,1.66,645973.00,0.36,0.21,55,199,276358.00,0
Pet Stores And Supply Businesses,351000.00,280000.00,136683.00,2.05,831490.00,0.34,0.16,24,238,502390.00,0.008
Schools,199000.00,195000.00,135000.00,1.44,398678.00,0.49,0.34,21,347,696026.00,0
Nightclubs And Theaters,710000.00,655000.00,134195.00,4.88,710408.00,0.92,0.19,15,178,592410.00,0
Other Communication And Media Businesses,250000.00,250000.00,132852.00,1.88,435225.00,0.57,0.31,27,146,222551.00,0.016
Dry Cleaners,295000.00,240000.00,132310.00,1.81,365402.00,0.66,0.36,112,194,542821.00,0
Food And Related Product Manufacturers,355000.00,360000.00,130333.00,2.76,577628.00,0.62,0.23,42,170,527534.00,0.004
Day Care And Child Care Centers,350000.00,330000.00,125564.00,2.63,520000.00,0.63,0.24,85,216,765711.00,0.001
Legal Services And Law Firms,295000.00,200000.00,122448.00,1.63,376047.00,0.53,0.33,3,280,341736.00,0.002
Pest Control Businesses,275000.00,262000.00,121778.00,2.15,400531.00,0.65,0.30,14,160,254767.00,0.009
Restaurants,249950.00,215000.00,120000.00,1.79,747943.00,0.29,0.16,1869,178,483914.00,0.007
Convenience Stores,222500.00,215000.00,120000.00,1.79,720000.00,0.3,0.17,161,132,508717.00,0.009
Nail Salons,192000.00,170000.00,119788.00,1.42,461669.00,0.37,0.26,66,122,212898.00,0
Jewelry Stores,250000.00,180000.00,112681.00,1.60,565399.00,0.32,0.20,10,253,328830.00,0
Other Pet Service Businesses,299000.00,250000.00,110000.00,2.27,475000.00,0.53,0.23,25,139,1452402.00,0.006
Magazines And Newspapers,287000.00,250000.00,109283.00,2.29,426020.00,0.59,0.26,14,295,430378.00,0
Hotels,185000.00,185000.00,108924.00,1.70,643000.00,0.29,0.17,5,176,2415499.00,0
Gyms And Fitness Centers,299000.00,250000.00,108541.00,2.30,418350.00,0.6,0.26,74,158,390211.00,0.003
Bakeries,225000.00,192500.00,104194.00,1.85,547559.00,0.35,0.19,98,164,390341.00,0.005
Clothing And Accessory Stores,264000.00,200000.00,103589.00,1.93,477091.00,0.42,0.22,80,208,280007.00,0.023
Donut Shops,220000.00,187500.00,102723.00,1.83,358422.00,0.52,0.29,15,217,392968.00,0.004
Routes,129300.00,124112.00,102289.00,1.21,396661.00,0.31,0.26,563,121,454896.00,0.004
Pawn Shops,350000.00,350000.00,100000.00,3.50,286688.00,1.22,0.35,3,431,253011.00,0
Smoke Shops,187000.00,150000.00,99410.00,1.51,396500.00,0.38,0.25,46,145,498998.00,0
Commercial Laundry Businesses,259450.00,232000.00,98872.00,2.35,150686.00,1.54,0.66,10,79,1164967.00,0
"Auto, Boat And Aircraft Manufacturers",240000.00,240000.00,96254.00,2.49,479584.00,0.5,0.20,12,100,851218.00,0
Massage Businesses,197000.00,165000.00,95905.00,1.72,551000.00,0.3,0.17,14,262,337753.00,0.004
Pet Grooming Businesses,180000.00,170000.00,90110.00,1.89,372765.00,0.46,0.24,57,145,494376.00,0
Laundromats And Coin Laundry Businesses,259900.00,250000.00,88620.00,2.82,234000.00,1.07,0.38,162,147,736458.00,0
Other Beauty And Personal Care Businesses,225000.00,175000.00,85000.00,2.06,419501.00,0.42,0.20,53,139,337910.00,0.005
Cell Phone And Computer Repair And Service Businesses,78000.00,78000.00,82722.00,0.94,362500.00,0.22,0.23,18,271,319431.00,0
Tanning Salons,217000.00,188000.00,78491.00,2.40,319026.00,0.59,0.25,11,141,337910.00,0.005
Ice Cream And Frozen Yogurt Shops,170000.00,165000.00,78071.00,2.11,364557.00,0.45,0.21,126,172,392968.00,0.004
Travel Agencies,179000.00,125000.00,76000.00,1.64,459000.00,0.27,0.17,1,310,252364.00,0.015
Coffee Shops And Cafes,169000.00,140000.00,75198.00,1.86,370000.00,0.38,0.20,204,122,392968.00,0.004
Hair Salons And Barber Shops,147000.00,129000.00,72475.00,1.78,352979.00,0.37,0.21,188,182,194383.00,0.007
Juice Bars,150000.00,125000.00,70880.00,1.76,393810.00,0.32,0.18,34,212,391905.00,0.004
"Dance, Pilates And Yoga Studios",136000.00,122500.00,69345.00,1.77,281867.00,0.43,0.25,13,112,390211.00,0.003
Health Food And Nutrition Businesses,177000.00,182500.00,68417.00,2.67,339558.00,0.54,0.20,18,267,329667.00,0.01
Dollar Stores,82000.00,75000.00,60000.00,1.25,180000.00,0.42,0.33,3,195,181025.00,0
Marinas And Fishing Businesses,550000.00,400000.00,50000.00,8.00,253000.00,1.58,0.20,1,112,752143.00,0
Vending Machine Businesses,84000.00,85750.00,35000.00,2.45,69000.00,1.24,0.51,43,63,126835.00,0.009
Food Trucks,90000.00,78000.00,30000.00,2.60,83299.00,0.94,0.36,10,180,96341.00,0.004
