industry,median_asking_price,median_sold_price,median_sde,price_to_sde_multiple,median_revenue,price_to_revenue_multiple,cashflow_margin_pct,listings_count,days_on_market,median_sba_loan,sba_default_rate_pct
Nightclubs And Theaters,1200000.00,1125000.00,204218.00,5.51,1860000.00,0.6,0.11,7,111,440935.00,0.00
Accounting Businesses And Tax Practices,360000.00,332500.00,204059.00,1.63,331542.00,1,0.62,138,166,341482.00,0.00
Gas Stations,750000.00,620000.00,200000.00,3.1,1950000.00,0.32,0.10,135,146,1558436.00,0.00
Production Companies,395000.00,340000.00,199719.00,1.7,430601.00,0.79,0.46,4,162,243437.00,0.00
Security Businesses,750000.00,750000.00,197881.00,3.79,550000.00,1.36,0.36,15,184,381972.00,0.00
Paper Manufacturers And Printing Businesses,450000.00,425000.00,191298.00,2.22,834125.00,0.51,0.23,51,218,455003.00,0.00
Landscaping And Yard Service Businesses,475000.00,400000.00,186977.00,2.14,602400.00,0.66,0.31,190,182,288793.00,0.00
Art Galleries,462498.00,362500.00,186039.00,1.95,647353.00,0.56,0.29,7,156,351647.00,0.00
Pharmacies,378500.00,382500.00,186020.00,2.06,1013348.00,0.38,0.18,36,187,601941.00,0.00
Other Transportation And Storage Businesses,675000.00,530000.00,183915.00,2.88,1264858.00,0.42,0.15,18,134,409482.00,0.00
Limo And Passenger Transportation Businesses,499000.00,499900.00,183081.00,2.73,540000.00,0.93,0.34,20,213,216912.00,0.00
Property Management Businesses,425000.00,397500.00,180105.00,2.21,760000.00,0.52,0.24,56,100,303723.00,0.00
Insurance Agencies,475000.00,429000.00,180000.00,2.38,350000.00,1.23,0.51,41,151,410046.00,0.00
Preschools,795000.00,650000.00,178140.00,3.65,687351.00,0.95,0.26,45,120,679886.00,0.00
Assisted Living And Nursing Homes,825000.00,675000.00,177827.00,3.8,507105.00,1.33,0.35,31,186,821334.00,0.00
Other Communication And Media Businesses,550000.00,475000.00,176000.00,2.7,515325.00,0.92,0.34,20,154,231553.00,0.00
Staffing Agencies,547000.00,362500.00,174614.00,2.08,1132238.00,0.32,0.15,18,111,465763.00,0.00
Golf Courses And Service Businesses,949500.00,599500.00,171500.00,3.5,1296500.00,0.46,0.13,11,261,564224.00,0.00
All Non-Classifiable Establishments,490000.00,400000.00,168417.00,2.38,390605.00,1.02,0.43,26,185,268779.00,0.01
Pet Stores And Supply Businesses,532500.00,425000.00,162898.00,2.61,1206521.00,0.35,0.14,22,213,446335.00,0.00
Jewelry Stores,325000.00,300000.00,158514.00,1.89,375000.00,0.8,0.42,9,142,294515.00,0.00
Furniture And Fixtures Manufacturers,550000.00,505000.00,158142.00,3.19,1465391.00,0.34,0.11,25,206,479773.00,0.00
Liquor Stores,500000.00,500000.00,157441.00,3.18,1050000.00,0.48,0.15,197,182,728934.00,0.00
Food And Related Product Manufacturers,350000.00,350000.00,152589.00,2.29,760444.00,0.46,0.20,51,198,516001.00,0.00
Pest Control Businesses,297500.00,250000.00,151329.00,1.65,253140.00,0.99,0.60,22,154,255887.00,0.00
Gyms And Fitness Centers,320000.00,307500.00,150971.00,2.04,470286.00,0.65,0.32,86,175,377138.00,0.00
Packaging Businesses,499000.00,474500.00,150347.00,3.16,804527.00,0.59,0.19,14,230,788700.00,0.00
Day Care And Child Care Centers,425000.00,400000.00,149271.00,2.68,561715.00,0.71,0.27,78,194,679886.00,0.00
Banquet Halls,425000.00,650000.00,149145.00,4.36,383844.00,1.69,0.39,8,187,1517040.00,0.00
Dry Cleaners,300000.00,275000.00,148616.00,1.85,392000.00,0.7,0.38,120,190,472090.00,0.00
Other Online And Technology Businesses,378000.00,363000.00,145142.00,2.5,492056.00,0.74,0.30,31,154,301932.00,0.00
Moving And Shipping Businesses,299000.00,256000.00,143353.00,1.79,552150.00,0.46,0.26,52,264,391523.00,0.00
Schools,440000.00,364500.00,140923.00,2.59,408402.00,0.89,0.35,18,170,901321.00,0.00
Other Entertainment And Recreation Businesses,400000.00,350000.00,140000.00,2.5,516864.00,0.68,0.27,73,171,508185.00,0.00
Medical Billing Businesses,445500.00,396000.00,139500.00,2.84,316569.00,1.25,0.44,4,51,431363.00,0.00
Dog Daycare And Boarding Businesses,398000.00,360000.00,138000.00,2.61,420000.00,0.86,0.33,28,184,426495.00,0.00
Grocery Stores And Supermarkets,320000.00,290000.00,137516.00,2.11,1180000.00,0.25,0.12,66,173,540339.00,0.00
Cleaning Businesses,255000.00,247000.00,132256.00,1.87,401086.00,0.62,0.33,162,167,239929.00,0.00
Dental Practices,350000.00,250000.00,130319.00,1.92,544000.00,0.46,0.24,23,208,842621.00,0.00
Spas,350000.00,325000.00,129952.00,2.5,600000.00,0.54,0.22,52,176,221695.00,0.00
Other Retail Businesses,300000.00,295000.00,129922.00,2.27,658000.00,0.45,0.20,209,181,311515.00,0.00
Magazines And Newspapers,237500.00,207500.00,125366.00,1.66,448295.00,0.46,0.28,7,442,517105.00,0.00
Restaurants,250000.00,225000.00,125000.00,1.8,720000.00,0.31,0.17,1863,179,482579.00,0.00
Tree Farm And Orchards,205000.00,205000.00,124844.00,1.64,183694.00,1.12,0.68,2,34,381176.00,0.00
Other Travel Businesses,277000.00,275000.00,124387.00,2.21,400756.00,0.69,0.31,7,214,1325509.00,0.00
Marinas And Fishing Businesses,441500.00,379500.00,124221.00,3.06,446527.00,0.85,0.28,6,300,814973.00,0.00
"Bars, Pubs And Taverns",350000.00,300000.00,120000.00,2.5,790000.00,0.38,0.15,216,184,412559.00,0.00
Convenience Stores,200000.00,200000.00,120000.00,1.67,681000.00,0.29,0.18,96,163,393075.00,0.00
Waste Management And Recycling Businesses,327500.00,327500.00,117794.00,2.78,455744.00,0.72,0.26,23,243,401696.00,0.00
Flower Shops,220000.00,199900.00,115958.00,1.72,538940.00,0.37,0.22,51,190,230062.00,0.00
Clothing And Accessory Stores,237500.00,212500.00,114741.00,1.85,494706.00,0.43,0.23,92,190,221572.00,0.00
Bakeries,275000.00,213000.00,113000.00,1.88,568335.00,0.37,0.20,114,175,347816.00,0.00
Donut Shops,200000.00,200000.00,112596.00,1.78,409000.00,0.49,0.28,12,144,389633.00,0.00
Other Education And Children Businesses,232450.00,210000.00,109589.00,1.92,415032.00,0.51,0.26,49,194,330285.00,0.00
Routes,130000.00,125000.00,105081.00,1.19,311749.00,0.4,0.34,559,114,433836.00,0.01
Massage Businesses,235000.00,220000.00,103000.00,2.14,464492.00,0.47,0.22,18,229,337214.00,0.00
Nursery And Garden Centers,299000.00,332500.00,98327.00,3.38,454042.00,0.73,0.22,10,351,447060.00,0.00
"Dance, Pilates And Yoga Studios",160000.00,160000.00,98000.00,1.63,316378.00,0.51,0.31,13,143,377138.00,0.00
Nail Salons,155000.00,150000.00,96000.00,1.56,403898.00,0.37,0.24,60,166,226328.00,0.00
Smoke Shops,150000.00,150000.00,96000.00,1.56,367903.00,0.41,0.26,76,74,204638.00,0.00
Locksmith Businesses,350000.00,337500.00,95038.00,3.55,523304.00,0.64,0.18,6,152,130530.00,0.00
Other Pet Service Businesses,275000.00,275000.00,94000.00,2.93,323263.00,0.85,0.29,15,131,1270868.00,0.00
Breweries,350000.00,300000.00,93230.00,3.22,700000.00,0.43,0.13,30,176,516919.00,0.00
Other Beauty And Personal Care Businesses,199000.00,180000.00,92197.00,1.95,385000.00,0.47,0.24,54,123,347556.00,0.00
Pet Grooming Businesses,175000.00,152500.00,91000.00,1.68,319353.00,0.48,0.29,61,175,426495.00,0.00
Commercial Laundry Businesses,346000.00,325000.00,90000.00,3.61,180000.00,1.81,0.50,11,129,524772.00,0.00
Bike Shops,149000.00,140000.00,77957.00,1.8,500000.00,0.28,0.16,14,344,479929.00,0.00
Cell Phone And Computer Repair And Service Businesses,97500.00,85000.00,77500.00,1.1,390447.00,0.22,0.20,16,276,307728.00,0.00
Ice Cream And Frozen Yogurt Shops,172000.00,152500.00,76554.00,1.99,401150.00,0.38,0.19,121,176,389633.00,0.00
Casinos,300000.00,300000.00,75495.00,3.97,99600.00,3.01,0.76,1,18,,
Coffee Shops And Cafes,162500.00,150000.00,75000.00,2,344000.00,0.44,0.22,242,142,389633.00,0.00
Laundromats And Coin Laundry Businesses,299000.00,270000.00,74000.00,3.65,204000.00,1.32,0.36,181,136,611970.00,0.00
Hair Salons And Barber Shops,121000.00,105000.00,72300.00,1.45,285383.00,0.37,0.25,183,188,181072.00,0.00
Juice Bars,79500.00,80000.00,59536.00,1.34,286500.00,0.28,0.21,43,110,386321.00,0.00
Motels,425000.00,390000.00,55563.00,7.02,211225.00,1.85,0.26,4,219,2506319.00,0.00
Tanning Salons,74950.00,65000.00,49650.00,1.31,180500.00,0.36,0.28,10,124,347556.00,0.00
Food Trucks,92000.00,71000.00,46936.00,1.51,214180.00,0.33,0.22,12,120,72813.00,0.00
Health Food And Nutrition Businesses,97500.00,95000.00,42549.00,2.23,375091.00,0.25,0.11,23,170,395011.00,0.00
Vineyards And Wineries,175000.00,175000.00,36665.00,4.77,232800.00,0.75,0.16,8,295,499603.00,0.00
Vending Machine Businesses,86000.00,78000.00,32495.00,2.4,60425.00,1.29,0.54,51,74,145614.00,0.00
