industry,median_asking_price,median_sold_price,median_sde,price_to_sde_multiple,median_revenue,price_to_revenue_multiple,cashflow_margin_pct,listings_count,days_on_market,median_sba_loan,sba_default_rate_pct
Truck Stops,5649500.00,7250000.00,1628500.00,4.45,13280000.00,0.55,0.12,3,321,$ , 
Banking And Loan Businesses,1000000.00,1000000.00,950000.00,1.05,4125000.00,0.24,0.23,1,70,$ , 
Storage Facilities And Warehouses,3200000.00,3425000.00,871282.00,3.93,1880531.00,1.82,0.46,8,145,778630.00,0.00
Towing Companies,1500000.00,1500000.00,576168.00,2.6,1332354.00,1.13,0.43,12,173,380252.00,0.00
Energy And Petroleum Production Businesses,1895000.00,1000000.00,500000.00,2,2702769.00,0.37,0.19,4,357,827259.00,0.00
Heavy Construction Businesses,1530000.00,1730000.00,469330.00,3.69,3048771.00,0.57,0.15,42,222,424680.00,0.00
Travel Agencies,1247000.00,1242500.00,455528.00,2.73,2394852.00,0.52,0.19,2,87,212707.00,0.00
Chemical And Related Product Manufacturers,1667500.00,1425000.00,426844.00,3.34,2823915.00,0.5,0.15,6,325,650010.00,0.00
"Glass, Stone And Concrete Manufacturers",1250000.00,1200000.00,402000.00,2.99,2000000.00,0.6,0.20,27,236,632607.00,0.00
Equipment Rental And Dealers,1100000.00,1100000.00,390000.00,2.82,1880000.00,0.59,0.21,17,269,420427.00,0.00
Other Agriculture Businesses,995000.00,1350417.00,377000.00,3.58,2082320.00,0.65,0.18,10,213,550813.00,0.00
Rubber And Plastic Products Manufacturers,1975000.00,1792658.00,374491.00,4.79,2350000.00,0.76,0.16,13,167,927497.00,0.00
Electrical And Mechanical Contracting Businesses,1050000.00,875000.00,369807.00,2.37,1479600.00,0.59,0.25,65,232,367945.00,0.00
Industrial And Commercial Machinery Manufacturers,825000.00,685000.00,369300.00,1.85,1481043.00,0.46,0.25,17,311,756099.00,0.00
Metal Product Manufacturers,1295000.00,1295000.00,359782.00,3.6,1958901.00,0.66,0.18,43,223,679590.00,0.00
Trucking Companies,1043206.00,1062500.00,352911.00,3.01,1550691.00,0.69,0.23,37,179,206207.00,0.00
Other Financial Services Businesses,1100000.00,790000.00,351000.00,2.25,825000.00,0.96,0.43,14,178,539629.00,0.00
Bowling Alleys,1600000.00,1400000.00,350000.00,4,1300000.00,1.08,0.27,2,369,855346.00,0.00
Durable Goods Wholesalers And Distributors,1050000.00,1100000.00,343000.00,3.21,1943436.00,0.57,0.18,38,188,569594.00,0.00
"Auto, Boat And Aircraft Manufacturers",1100000.00,700000.00,337305.00,2.08,1716375.00,0.41,0.20,14,189,709159.00,0.01
Legal Services And Law Firms,625000.00,500000.00,336151.00,1.49,1004984.00,0.5,0.34,10,198,266712.00,0.00
Hvac Businesses,799500.00,815000.00,329875.00,2.47,1503367.00,0.54,0.22,116,196,393719.00,0.00
Other Building And Construction Businesses,755000.00,699500.00,326250.00,2.14,1610341.00,0.43,0.20,341,205,302705.00,0.00
Other Manufacturing Businesses,1100000.00,995000.00,323627.00,3.07,1281714.00,0.78,0.25,107,195,585076.00,0.00
Car Dealerships,600000.00,600000.00,314909.00,1.91,2582000.00,0.23,0.12,15,232,630620.00,0.00
Funeral Homes,1775000.00,1387500.00,314294.00,4.41,756026.00,1.84,0.42,7,196,808470.00,0.00
Architecture And Engineering Firms,800000.00,599000.00,313950.00,1.91,1016898.00,0.59,0.31,29,270,421078.00,0.00
Graphic And Web Design Businesses,975000.00,925000.00,313298.00,2.95,907937.00,1.02,0.35,12,129,314153.00,0.00
Plumbing Businesses,650000.00,639229.00,306610.00,2.08,1463103.00,0.44,0.21,41,194,406790.00,0.00
Other Health Care And Fitness Businesses,619500.00,562500.00,299897.00,1.88,976558.00,0.58,0.31,83,192,269788.00,0.00
Lumber And Wood Products Manufacturers,845000.00,845000.00,296998.00,2.85,2147518.00,0.39,0.14,21,339,644092.00,0.00
Electronic And Electrical Equipment Manufacturers,995000.00,837200.00,296062.00,2.83,1846537.00,0.45,0.16,17,156,709159.00,0.01
Medical Practices,660000.00,565000.00,290600.00,1.94,1004542.00,0.56,0.29,144,212,550541.00,0.00
Nondurable Goods Wholesalers And Distributors,999000.00,800000.00,288524.00,2.77,2256784.00,0.35,0.13,19,200,490651.00,0.00
Other Wholesalers And Distributors,900000.00,800000.00,281000.00,2.85,1536446.00,0.52,0.18,76,172,310441.00,0.01
Junk And Salvage Yards,837000.00,925000.00,276000.00,3.35,1029875.00,0.9,0.27,5,162,, 
Furniture And Furnishings Stores,525000.00,525000.00,268532.00,1.96,1181579.00,0.44,0.23,26,218,411815.00,0.00
Building Material And Hardware Stores,921000.00,1150000.00,267514.00,4.3,2000000.00,0.58,0.13,49,251,733242.00,0.00
Concrete Businesses,650000.00,650000.00,266241.00,2.44,1026051.00,0.63,0.26,18,249,265311.00,0.00
Clothing And Fabric Manufacturers,1150000.00,950000.00,263859.00,3.6,2030000.00,0.47,0.13,11,249,401337.00,0.01
Machine Shops And Tool Manufacturers,799000.00,750000.00,253000.00,2.96,900000.00,0.83,0.28,41,191,695898.00,0.00
Other Automotive And Boat Businesses,649500.00,585000.00,250666.00,2.33,941121.00,0.62,0.27,36,281,783930.00,0.00
Websites And Ecommerce Businesses,727500.00,707500.00,241643.00,2.93,908906.00,0.78,0.27,505,60,180830.00,0.00
Medical Device And Product Manufacturers,850000.00,650000.00,238656.00,2.72,750000.00,0.87,0.32,31,178,442883.00,0.00
Marine Boat Services And Dealers,545000.00,447000.00,237539.00,1.88,764138.00,0.58,0.31,16,295,699431.00,0.00
Bed And Breakfasts,1697500.00,1525000.00,229805.00,6.64,551358.00,2.77,0.42,6,297,1457852.00,0.00
Software And App Companies,612500.00,612500.00,226281.00,2.71,717667.00,0.85,0.32,26,150,349414.00,0.00
It And Software Service Businesses,649000.00,600000.00,223377.00,2.69,1308757.00,0.46,0.17,31,169,453444.00,0.00
All Businesses,658863.46,617050.78,221596.54,2.63,1031304.09,0.69,0.27,9530,191,456054.00,0.00
Home Health Care Businesses,750000.00,699000.00,221000.00,3.16,1294372.00,0.54,0.17,69,192,392147.00,0.00
Catering Companies,523150.00,375000.00,215187.00,1.74,1027664.00,0.36,0.21,13,145,398967.00,0.00
Sign Manufacturers And Businesses,549000.00,525000.00,213819.00,2.46,902933.00,0.58,0.24,53,215,567059.00,0.00
Other Service Businesses,513000.00,450000.00,213000.00,2.11,813454.00,0.55,0.26,318,177,320447.00,0.00
Car Washes,1100000.00,882500.00,212500.00,4.15,470500.00,1.88,0.45,37,197,1171091.00,0.00
Auto Repair And Service Shops,549950.00,475000.00,211500.00,2.25,964002.00,0.49,0.22,247,208,423960.00,0.00
