industry,median_asking_price,median_sold_price,median_sde,price_to_sde_multiple,median_revenue,price_to_revenue_multiple,cashflow_margin_pct,listings_count,days_on_market,median_sba_loan,sba_default_rate_pct
Limo And Passenger Transportation Businesses,725000.00,640000.00,250000.00,2.56,1100000.00,0.58,0.2270,20,,362155.00,0.1530
Building Material And Hardware Stores,675000.00,600000.00,238000.00,2.52,1827000.00,0.33,0.1300,35,,469377.00,0.0450
Other Building And Construction Businesses,499000.00,450000.00,237694.00,1.89,1380199.00,0.33,0.1720,180,,202416.00,0.0850
Trucking Companies,674500.00,649500.00,229767.00,2.83,917680.00,0.71,0.2500,23,,152438.00,0.0810
Car Washes,649000.00,600000.00,225000.00,2.67,575000.00,1.04,0.3910,42,,1397038.00,0.0240
Bowling Alleys,399000.00,399000.00,224455.00,1.78,458660.00,0.87,0.4890,2,,872439.00,0.0000
Furniture And Fitures Manufacturers,750000.00,675000.00,219867.00,3.07,1183981.00,0.57,0.1860,14,,456679.00,0.0550
Hvac Businesses,437000.00,420000.00,219649.00,1.91,871900.00,0.48,0.2520,75,,256796.00,0.0520
Durable Goods Wholesalers And Distributors,650000.00,609000.00,216529.00,2.81,1304489.00,0.47,0.1660,73,,541264.00,0.0640
Other Pet Service Businesses,552500.00,537500.00,214744.00,2.5,628001.00,0.86,0.3420,7,,921733.00,0.0030
Clothing And Fabric Manufacturers,525000.00,500000.00,212238.00,2.36,1136797.00,0.44,0.1870,14,,455005.00,0.0430
"Glass, Stone And Concrete Manufacturers",625000.00,550000.00,209679.00,2.62,1003702.00,0.55,0.2090,12,,508964.00,0.0740
Nursery And Garden Centers,612500.00,785000.00,208607.00,3.76,997500.00,0.79,0.2090,9,,453851.00,0.0150
Energy And Petroleum Production Businesses,575000.00,550000.00,200000.00,2.75,932900.00,0.59,0.2140,2,,655681.00,0.0630
Food And Related Product Manufacturers,650000.00,636000.00,200000.00,3.18,900456.00,0.71,0.2220,34,,415489.00,0.0470
All Non-Classifiable Establishments,640000.00,577500.00,198110.00,2.92,570511.00,1.01,0.3470,17,,213544.00,0.1370
Other Transportation And Storage Businesses,399000.00,350000.00,197000.00,1.78,578000.00,0.61,0.3410,35,,423828.00,0.0810
Other Online And Technology Businesses,465000.00,465000.00,196408.00,2.37,759846.00,0.61,0.2590,60,,284608.00,0.0830
Art Galleries,1197500.00,1187500.00,194799.00,6.1,641620.00,1.85,0.3040,3,,158494.00,0.0200
Architecture And Engineering Firms,495000.00,500000.00,193322.00,2.59,924442.00,0.54,0.2090,9,,389700.00,0.0470
Dental Practices,360000.00,314500.00,191565.00,1.64,495364.00,0.63,0.3870,13,,759030.00,0.0170
Storage Facilities And Warehouses,250000.00,250000.00,190000.00,1.32,1452299.00,0.17,0.1310,12,,1157382.00,0.0000
Production Companies,275000.00,275000.00,185000.00,1.49,500000.00,0.55,0.3700,4,,234446.00,0.0660
All Businesses,545683.77,515491.15,180722.71,2.51,814362.82,0.67,0.2700,9432,,440200.00,0.0600
Tree Farm And Orchards,965000.00,871000.00,179000.00,4.87,378000.00,2.3,0.4730,4,,737348.00,0.0190
Medical Practices,349000.00,360000.00,174633.00,2.06,628445.00,0.57,0.2780,22,,482352.00,0.0360
Other Communication And Media Businesses,450000.00,450000.00,172402.00,2.61,641677.00,0.7,0.2690,25,,343221.00,0.0470
Websites And Ecommerce Businesses,495000.00,475000.00,172402.00,2.76,581723.00,0.82,0.2960,353,,278628.00,0.0990
Electronic And Electrical Equipment Manufacturers,675000.00,550000.00,171029.00,3.22,1230903.00,0.45,0.1390,19,,575583.00,0.0680
Paper Manufacturers And Printing Businesses,462000.00,367500.00,166020.00,2.21,694273.00,0.53,0.2390,41,,488707.00,0.0530
Towing Companies,512500.00,415000.00,165000.00,2.52,772500.00,0.54,0.2140,5,,393570.00,0.0490
Grocery Stores And Supermarkets,490000.00,465000.00,165000.00,2.82,1325000.00,0.35,0.1240,66,,485127.00,0.0790
Banking And Loan Businesses,159000.00,152000.00,164000.00,0.93,695000.00,0.22,0.2360,11,,1073547.00,0.0670
Accounting Businesses And Ta Practices,259000.00,227500.00,163944.00,1.39,295002.00,0.77,0.5560,81,,239597.00,0.0300
Medical Device And Product Manufacturers,548500.00,444500.00,160613.00,2.77,492292.00,0.9,0.3260,8,,457126.00,0.0550
Motels,849950.00,812500.00,154106.00,5.27,353700.00,2.3,0.4360,20,,2249435.00,0.0140
Pharmacies,245000.00,227500.00,150500.00,1.51,1450000.00,0.16,0.1040,35,,727974.00,0.0400
Other Wholesalers And Distributors,275498.00,271950.00,150018.00,1.81,1000000.00,0.27,0.1500,24,,384717.00,0.0910
Nail Salons,220000.00,173000.00,150000.00,1.15,423434.00,0.41,0.3540,22,,206096.00,0.0770
Marine Boat Services And Dealers,395000.00,375000.00,150000.00,2.5,1100000.00,0.34,0.1360,16,,721617.00,0.0000
Legal Services And Law Firms,400000.00,400000.00,150000.00,2.67,480000.00,0.83,0.3130,11,,222444.00,0.0290
Auto Repair And Service Shops,300000.00,277500.00,146085.00,1.9,660000.00,0.42,0.2210,268,,373922.00,0.0480
Home Health Care Businesses,300000.00,275000.00,145000.00,1.9,778101.00,0.35,0.1860,64,,406117.00,0.0420
Moving And Shipping Businesses,325000.00,309000.00,142589.00,2.17,520616.00,0.59,0.2740,49,,228865.00,0.2030
Liquor Stores,349998.00,332500.00,139050.00,2.39,900000.00,0.37,0.1540,301,,508606.00,0.0160
Massage Businesses,174500.00,167750.00,131908.00,1.27,650000.00,0.26,0.2030,15,,273717.00,0.0690
Other Travel Businesses,299000.00,299000.00,130000.00,2.3,260000.00,1.15,0.5000,1,,934907.00,0.0140
Graphic And Web Design Businesses,362000.00,326000.00,128483.00,2.54,401516.00,0.81,0.3200,9,,310328.00,0.0890
Other Service Businesses,235000.00,215000.00,127973.00,1.68,350260.00,0.61,0.3650,439,,277099.00,0.0770
Other Health Care And Fitness Businesses,350000.00,294500.00,127804.00,2.3,486448.00,0.61,0.2630,103,,253489.00,0.0490
Insurance Agencies,562500.00,432500.00,125000.00,3.46,351206.00,1.23,0.3560,57,,311280.00,0.0540
Schools,300000.00,270000.00,124350.00,2.17,332500.00,0.81,0.3740,12,,1108957.00,0.0470
Furniture And Furnishings Stores,245000.00,225000.00,123970.00,1.81,710310.00,0.32,0.1740,365,,386716.00,0.0850
Equipment Rental And Dealers,400000.00,299000.00,120475.00,2.48,1200000.00,0.25,0.1000,5,,559996.00,0.0220
Breweries,507500.00,572500.00,120310.00,4.76,810391.00,0.71,0.1480,10,,403210.00,0.0360
Spas,270000.00,255000.00,120000.00,2.13,480000.00,0.53,0.2500,35,,146494.00,0.0000
Gas Stations,225000.00,225000.00,120000.00,1.88,633150.00,0.36,0.1890,300,,1201640.00,0.0170
Cleaning Businesses,255000.00,236000.00,120000.00,1.97,337258.00,0.7,0.3560,97,,201307.00,0.0970
Pest Control Businesses,375000.00,273350.00,119983.00,2.28,231487.00,1.18,0.5180,7,,206599.00,0.1000
"Auto, Boat And Aircraft Manufacturers",1400000.00,944043.00,119000.00,7.93,1500000.00,0.63,0.0790,10,,575583.00,0.0680
Commercial Laundry Businesses,314750.00,274750.00,115896.00,2.37,283490.00,0.97,0.4090,14,,403300.00,0.0710
Pawn Shops,199900.00,100000.00,115691.00,0.86,440000.00,0.23,0.2630,4,,244418.00,0.0540
Juice Bars,327500.00,325000.00,115392.00,2.82,679705.00,0.48,0.1700,24,,206738.00,0.0630
Dollar Stores,179000.00,175000.00,114800.00,1.52,500000.00,0.35,0.2300,8,,202827.00,0.0770
Golf Courses And Service Businesses,179000.00,169000.00,114380.00,1.48,470000.00,0.36,0.2430,5,,784830.00,0.0300
Locksmith Businesses,195000.00,190000.00,112102.00,1.69,188852.00,1.01,0.5940,1,,142983.00,0.0860
Day Care And Child Care Centers,350000.00,300000.00,112000.00,2.68,539477.00,0.56,0.2080,91,,792153.00,0.0280
Property Management Businesses,225000.00,220000.00,111363.00,1.98,309220.00,0.71,0.3600,33,,227327.00,0.0720
Assisted Living And Nursing Homes,350000.00,325000.00,111000.00,2.93,321316.00,1.01,0.3450,22,,681329.00,0.0380
Routes,179000.00,175692.00,111000.00,1.58,467168.00,0.38,0.2380,354,,341751.00,0.0950
Cell Phone And Computer Repair And Service Businesses,202500.00,187500.00,108524.00,1.73,451637.00,0.42,0.2400,18,,185456.00,0.2030
Restaurants,200000.00,180000.00,106008.00,1.7,582826.00,0.31,0.1820,2195,,385016.00,0.0660
Dog Daycare And Boarding Businesses,270000.00,220000.00,105870.00,2.08,390644.00,0.56,0.2710,18,,376943.00,0.0350
Bed And Breakfasts,1024500.00,887500.00,105853.00,8.38,294618.00,3.01,0.3590,12,,809438.00,0.0360
Landscaping And Yard Service Businesses,199000.00,174000.00,101492.00,1.71,353342.00,0.49,0.2870,106,,179994.00,0.0560
Catering Companies,299000.00,289000.00,101300.00,2.85,400025.00,0.72,0.2530,5,,364374.00,0.1030
Other Retail Businesses,225000.00,200000.00,100036.00,2,517813.00,0.39,0.1930,196,,268952.00,0.0910
"Bars, Pubs And Taverns",285000.00,255000.00,100000.00,2.55,596000.00,0.43,0.1680,343,,425441.00,0.0350
Magazines And Newspapers,165000.00,150000.00,98242.00,1.53,272000.00,0.55,0.3610,9,,254530.00,0.0370
Other Entertainment And Recreation Businesses,242500.00,207500.00,97963.00,2.12,305361.00,0.68,0.3210,70,,552824.00,0.0810
Donut Shops,185000.00,165500.00,97500.00,1.7,357606.00,0.46,0.2730,31,,206087.00,0.0630
Pet Stores And Supply Businesses,246500.00,197500.00,96830.00,2.04,633898.00,0.31,0.1530,21,,258749.00,0.0560
Clothing And Accessory Stores,202000.00,177500.00,95400.00,1.86,441029.00,0.4,0.2160,121,,236527.00,0.0890
Health Food And Nutrition Businesses,249500.00,249000.00,94700.00,2.63,639838.00,0.39,0.1480,18,,265650.00,0.0930
Convenience Stores,199500.00,175000.00,94620.00,1.85,654500.00,0.27,0.1450,273,,376294.00,0.0320
Other Education And Children Businesses,174900.00,165000.00,93000.00,1.77,320000.00,0.52,0.2910,37,,340301.00,0.0830
Packaging Businesses,225000.00,217288.00,89797.00,2.42,702579.00,0.31,0.1280,4,,1156709.00,0.0000
Greenhouses,299000.00,279000.00,88500.00,3.15,800000.00,0.35,0.1110,4,,,
Dry Cleaners,190000.00,167000.00,84500.00,1.98,249715.00,0.67,0.3380,158,,341189.00,0.0930
Smoke Shops,105000.00,101000.00,84000.00,1.2,375000.00,0.27,0.2240,23,,189927.00,0.0670
Nondurable Goods Wholesalers And Distributors,190000.00,190000.00,80392.00,2.36,405000.00,0.47,0.1990,53,,461602.00,0.0790
Bakeries,159000.00,120000.00,80000.00,1.5,340254.00,0.35,0.2350,85,,251045.00,0.0790
Coffee Shops And Cafes,162500.00,150000.00,79620.00,1.88,361000.00,0.42,0.2210,187,,206087.00,0.0630
Gyms And Fitness Centers,195000.00,182000.00,78321.00,2.32,294201.00,0.62,0.2660,63,,392083.00,0.0830
Vending Machine Businesses,165000.00,153000.00,77400.00,1.98,300000.00,0.51,0.2580,46,,205471.00,0.1490
Bike Shops,217500.00,207500.00,76000.00,2.73,436203.00,0.48,0.1740,7,,307823.00,0.0610
Flower Shops,125000.00,110000.00,72193.00,1.52,337170.00,0.33,0.2140,57,,131267.00,0.0390
Jewelry Stores,211995.00,165000.00,71494.00,2.31,242500.00,0.68,0.2950,8,,254474.00,0.0380
Pet Grooming Businesses,100000.00,80000.00,70208.00,1.14,268294.00,0.3,0.2620,30,,376943.00,0.0350
Ice Cream And Frozen Yogurt Shops,164000.00,135000.00,70178.00,1.92,302159.00,0.45,0.2320,175,,206087.00,0.0630
Tanning Salons,83500.00,78500.00,69050.00,1.14,180330.00,0.44,0.3830,12,,259558.00,0.0660
Travel Agencies,99000.00,45000.00,64095.00,0.7,157314.00,0.29,0.4070,2,,154136.00,0.1020
Food Trucks,115000.00,100000.00,60000.00,1.67,182000.00,0.55,0.3300,6,,65766.00,0.0860
Laundromats And Coin Laundry Businesses,160000.00,150000.00,60000.00,2.5,132952.00,1.13,0.4510,87,,708766.00,0.0420
Security Businesses,197000.00,160000.00,58390.00,2.74,298023.00,0.54,0.1960,7,,235490.00,0.0830
Hair Salons And Barber Shops,100000.00,99000.00,57568.00,1.72,250000.00,0.4,0.2300,213,,173718.00,0.0860
Other Automotive And Boat Businesses,190000.00,167500.00,57019.00,2.94,158482.00,1.06,0.3600,7,,494289.00,0.0930
Other Beauty And Personal Care Businesses,115000.00,105500.00,55687.00,1.89,226607.00,0.47,0.2460,9,,259558.00,0.0660
"Dance, Pilates And Yoga Studios",189500.00,125000.00,55187.00,2.27,378299.00,0.33,0.1460,13,,392083.00,0.0830
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
