industry,median_asking_price,median_sold_price,median_sde,price_to_sde_multiple,median_revenue,price_to_revenue_multiple,cashflow_margin_pct,listings_count,days_on_market,median_sba_loan,sba_default_rate_pct
Truck Stops,4000000.00,3850000.00,750000.00,5.13,9000000.00,0.43,0.0830,6,,,
Hotels,6000000.00,5800000.00,637000.00,9.11,1625000.00,3.57,0.3920,29,,2150207.00,0.0150
Medical Billing Businesses,1550000.00,1430000.00,625000.00,2.29,2419500.00,0.59,0.2580,5,,464845.00,0.0250
Junk And Salvage Yards,1990000.00,3500000.00,600000.00,5.83,3700000.00,0.95,0.1620,3,,852333.00,0.0670
Other Agriculture Businesses,1350000.00,1150000.00,474179.00,2.43,1971118.00,0.58,0.2410,10,,707875.00,0.0160
Concrete Businesses,1200000.00,1200000.00,464938.00,2.58,1200000.00,1,0.3870,8,,273923.00,0.0560
Electrical And Mechanical Contracting Businesses,828000.00,803000.00,400000.00,2.01,1398555.00,0.57,0.2860,36,,236347.00,0.0590
Heavy Construction Businesses,1300000.00,1200000.00,400000.00,3,3000000.00,0.4,0.1330,7,,350830.00,0.0450
Real Estate Businesses,975000.00,900000.00,400000.00,2.25,1528000.00,0.59,0.2620,42,,512179.00,0.0500
Other Manufacturing Businesses,1300000.00,1250000.00,399971.00,3.13,1478491.00,0.85,0.2710,63,,468709.00,0.0420
Software And App Companies,1600000.00,1550000.00,382152.00,4.06,783355.00,1.98,0.4880,17,,,
Lumber And Wood Products Manufacturers,1337500.00,1220000.00,380724.00,3.2,1905000.00,0.64,0.2000,25,,629617.00,0.0240
Rubber And Plastic Products Manufacturers,1012500.00,1050000.00,332500.00,3.16,1057628.00,0.99,0.3140,13,,607960.00,0.0370
Other Financial Services Businesses,712500.00,712500.00,321110.00,2.22,563861.00,1.26,0.5700,21,,541332.00,0.0250
Industrial And Commercial Machinery Manufacturers,1300000.00,1200000.00,316000.00,3.8,1513363.00,0.79,0.2090,12,,642791.00,0.0600
Metal Product Manufacturers,750000.00,587500.00,303500.00,1.94,1323204.00,0.44,0.2290,61,,731064.00,0.0210
Staffing Agencies,550000.00,500000.00,281903.00,1.77,1153936.00,0.43,0.2440,26,,303484.00,0.0490
Sign Manufacturers And Businesses,712500.00,655000.00,279000.00,2.35,951273.00,0.69,0.2930,31,,377109.00,0.1120
Waste Management And Recycling Businesses,812500.00,750000.00,277000.00,2.71,847500.00,0.88,0.3270,9,,360652.00,0.0580
Chemical And Related Product Manufacturers,850000.00,775000.00,275000.00,2.82,788383.00,0.98,0.3490,3,,664991.00,0.0370
Preschools,612500.00,575000.00,271000.00,2.12,629500.00,0.91,0.4300,8,,792153.00,0.0280
Car Dealerships,874950.00,700000.00,269472.00,2.6,2451519.00,0.29,0.1100,30,,309771.00,0.1170
It And Software Service Businesses,895000.00,850000.00,266686.00,3.19,1148559.00,0.74,0.2320,22,,310653.00,0.0580
Plumbing Businesses,525000.00,439000.00,265344.00,1.65,975000.00,0.45,0.2720,30,,262090.00,0.0520
Machine Shops And Tool Manufacturers,845000.00,705000.00,250000.00,2.82,833524.00,0.85,0.3000,25,,623043.00,0.0570
